Frequency (Hz)	Level (dB)
0.976562	-116.842308
1.953125	-110.619606
2.929688	-103.778259
3.906250	-99.715889
4.882812	-99.330406
5.859375	-95.524506
6.835938	-93.637962
7.812500	-96.340393
8.789062	-94.955261
9.765625	-91.574448
10.742188	-87.771820
11.718750	-86.275169
12.695312	-85.391014
13.671875	-85.387833
14.648438	-87.300728
15.625000	-88.203598
16.601562	-86.646744
17.578125	-86.282951
18.554688	-84.688370
19.531250	-85.432632
20.507812	-84.439667
21.484375	-82.775368
22.460938	-81.808960
23.437500	-81.328178
24.414062	-82.138191
25.390625	-83.232849
26.367188	-82.265396
27.343750	-82.043411
28.320312	-82.248238
29.296875	-81.885941
30.273438	-82.820740
31.250000	-83.239693
32.226562	-82.930969
33.203125	-82.605644
34.179688	-82.198006
35.156250	-81.641602
36.132812	-81.588623
37.109375	-81.601997
38.085938	-82.817680
39.062500	-83.503548
40.039062	-81.975182
41.015625	-81.473351
41.992188	-81.198524
42.968750	-82.054642
43.945312	-81.803185
44.921875	-81.392387
45.898438	-81.622688
46.875000	-81.565956
47.851562	-81.788689
48.828125	-81.939995
49.804688	-80.824303
50.781250	-79.746521
51.757812	-79.393799
52.734375	-79.277023
53.710938	-78.630852
54.687500	-78.599083
55.664062	-77.239502
56.640625	-77.273590
57.617188	-76.739197
58.593750	-77.060509
59.570312	-77.532463
60.546875	-78.047180
61.523438	-77.385635
62.500000	-76.528008
63.476562	-77.594002
64.453125	-79.209015
65.429688	-80.429214
66.406250	-80.219528
67.382812	-81.022415
68.359375	-81.771584
69.335938	-80.709091
70.312500	-79.924774
71.289062	-79.993294
72.265625	-79.743790
73.242188	-79.126007
74.218750	-78.222610
75.195312	-78.908043
76.171875	-80.774139
77.148438	-80.183464
78.125000	-79.801331
79.101562	-80.377502
80.078125	-81.270203
81.054688	-82.586624
82.031250	-82.460831
83.007812	-81.445587
83.984375	-80.591515
84.960938	-80.646881
85.937500	-78.998177
86.914062	-77.952019
87.890625	-79.528946
88.867188	-80.125885
89.843750	-80.265846
90.820312	-80.461609
91.796875	-81.300102
92.773438	-80.374962
93.750000	-80.979591
94.726562	-82.222298
95.703125	-81.019455
96.679688	-80.988007
97.656250	-81.468781
98.632812	-80.849876
99.609375	-80.773293
100.585938	-80.367439
101.562500	-80.022957
102.539062	-80.045471
103.515625	-80.010208
104.492188	-80.949287
105.468750	-80.227737
106.445312	-80.933426
107.421875	-81.699120
108.398438	-80.353752
109.375000	-79.769234
110.351562	-79.774078
111.328125	-80.509811
112.304688	-81.108040
113.281250	-79.366692
114.257812	-77.539825
115.234375	-79.041687
116.210938	-79.767006
117.187500	-79.931244
118.164062	-77.597214
119.140625	-73.810883
120.117188	-70.990211
121.093750	-75.237839
122.070312	-78.447258
123.046875	-80.630890
124.023438	-81.247765
125.000000	-80.796936
125.976562	-80.865387
126.953125	-80.668526
127.929688	-80.064590
128.906250	-79.673561
129.882812	-79.102257
130.859375	-79.176369
131.835938	-79.775528
132.812500	-79.583611
133.789062	-79.893044
134.765625	-80.567719
135.742188	-79.567711
136.718750	-80.273979
137.695312	-80.066536
138.671875	-80.025505
139.648438	-79.458748
140.625000	-78.884949
141.601562	-79.448616
142.578125	-79.137222
143.554688	-78.931381
144.531250	-78.698013
145.507812	-78.878296
146.484375	-78.754845
147.460938	-79.180168
148.437500	-78.701897
149.414062	-77.766045
150.390625	-78.398041
151.367188	-79.792534
152.343750	-79.992882
153.320312	-79.936584
154.296875	-79.891975
155.273438	-79.330635
156.250000	-79.525482
157.226562	-79.693878
158.203125	-78.386108
159.179688	-78.888359
160.156250	-78.231369
161.132812	-78.556473
162.109375	-78.067490
163.085938	-78.755211
164.062500	-79.214050
165.039062	-78.803955
166.015625	-78.039490
166.992188	-78.016373
167.968750	-78.274925
168.945312	-79.075104
169.921875	-78.769310
170.898438	-79.004288
171.875000	-78.503807
172.851562	-78.176712
173.828125	-78.945953
174.804688	-78.359749
175.781250	-78.741730
176.757812	-78.070824
177.734375	-77.978867
178.710938	-78.428925
179.687500	-77.624832
180.664062	-78.220917
181.640625	-79.282158
182.617188	-78.305374
183.593750	-77.984016
184.570312	-77.462738
185.546875	-78.150024
186.523438	-79.192230
187.500000	-79.369179
188.476562	-78.194229
189.453125	-77.624260
190.429688	-77.182976
191.406250	-77.767204
192.382812	-76.778122
193.359375	-76.971031
194.335938	-76.091576
195.312500	-75.574341
196.289062	-77.425331
197.265625	-77.873703
198.242188	-76.994179
199.218750	-76.476768
200.195312	-76.066177
201.171875	-76.542740
202.148438	-75.552856
203.125000	-75.366623
204.101562	-76.362381
205.078125	-76.077721
206.054688	-75.490105
207.031250	-75.590118
208.007812	-76.181801
208.984375	-76.583649
209.960938	-75.669716
210.937500	-75.428459
211.914062	-74.689667
212.890625	-74.169662
213.867188	-73.688309
214.843750	-74.779739
215.820312	-75.331459
216.796875	-73.998421
217.773438	-74.012383
218.750000	-75.802933
219.726562	-74.765282
220.703125	-74.212143
221.679688	-74.455711
222.656250	-74.542587
223.632812	-73.293396
224.609375	-73.845825
225.585938	-74.612701
226.562500	-74.163155
227.539062	-73.812614
228.515625	-74.682945
229.492188	-73.605408
230.468750	-73.835571
231.445312	-73.390526
232.421875	-72.787582
233.398438	-72.267120
234.375000	-72.099258
235.351562	-73.456192
236.328125	-72.827957
237.304688	-72.538116
238.281250	-73.657722
239.257812	-72.277115
240.234375	-70.503059
241.210938	-69.388481
242.187500	-70.263611
243.164062	-71.982391
244.140625	-71.007736
245.117188	-70.981613
246.093750	-71.071083
247.070312	-70.730186
248.046875	-70.369476
249.023438	-69.640846
250.000000	-69.481941
250.976562	-69.856956
251.953125	-70.064125
252.929688	-68.484909
253.906250	-68.473999
254.882812	-67.709816
255.859375	-67.104645
256.835938	-67.906868
257.812500	-68.315041
258.789062	-68.396278
259.765625	-68.867317
260.742188	-67.830566
261.718750	-67.900032
262.695312	-67.049561
263.671875	-67.151619
264.648438	-67.052895
265.625000	-65.766792
266.601562	-65.336136
267.578125	-64.263824
268.554688	-64.518539
269.531250	-65.844223
270.507812	-64.871292
271.484375	-63.633690
272.460938	-63.593163
273.437500	-64.484390
274.414062	-63.838047
275.390625	-62.955639
276.367188	-61.889370
277.343750	-62.078880
278.320312	-63.053772
279.296875	-62.811535
280.273438	-63.247311
281.250000	-62.210339
282.226562	-61.249870
283.203125	-61.409447
284.179688	-61.720413
285.156250	-60.923279
286.132812	-60.930004
287.109375	-61.011959
288.085938	-60.648388
289.062500	-60.518002
290.039062	-60.447571
291.015625	-60.827923
291.992188	-60.836746
292.968750	-60.728176
293.945312	-60.973469
294.921875	-61.732372
295.898438	-62.291149
296.875000	-62.939133
297.851562	-63.356915
298.828125	-63.626240
299.804688	-63.711788
300.781250	-64.710045
301.757812	-63.687233
302.734375	-63.655540
303.710938	-64.776077
304.687500	-65.536942
305.664062	-65.157494
306.640625	-64.488220
307.617188	-65.747498
308.593750	-66.158264
309.570312	-64.787376
310.546875	-66.009399
311.523438	-67.634682
312.500000	-66.722969
313.476562	-66.182709
314.453125	-66.703514
315.429688	-67.099350
316.406250	-66.878006
317.382812	-67.514420
318.359375	-67.932167
319.335938	-68.202805
320.312500	-68.926865
321.289062	-69.170158
322.265625	-69.555992
323.242188	-69.174759
324.218750	-68.779228
325.195312	-69.285957
326.171875	-70.059708
327.148438	-70.240158
328.125000	-70.596451
329.101562	-68.917778
330.078125	-69.575005
331.054688	-69.616264
332.031250	-69.955116
333.007812	-69.745674
333.984375	-69.986778
334.960938	-70.502922
335.937500	-70.768311
336.914062	-71.161942
337.890625	-70.835289
338.867188	-71.164421
339.843750	-71.993401
340.820312	-71.425980
341.796875	-72.036575
342.773438	-71.721916
343.750000	-71.495636
344.726562	-71.794930
345.703125	-72.318535
346.679688	-72.136398
347.656250	-71.916191
348.632812	-72.737854
349.609375	-73.379921
350.585938	-73.207687
351.562500	-71.475311
352.539062	-72.266701
353.515625	-72.128105
354.492188	-71.851768
355.468750	-72.495872
356.445312	-72.940659
357.421875	-73.377251
358.398438	-74.916565
359.375000	-73.289284
360.351562	-72.891350
361.328125	-74.034599
362.304688	-73.508026
363.281250	-73.386955
364.257812	-73.860725
365.234375	-74.971214
366.210938	-75.203575
367.187500	-74.121460
368.164062	-74.267601
369.140625	-73.988304
370.117188	-74.420555
371.093750	-74.197273
372.070312	-74.229942
373.046875	-73.638565
374.023438	-73.887901
375.000000	-74.330444
375.976562	-74.918373
376.953125	-74.882515
377.929688	-75.124611
378.906250	-74.757591
379.882812	-74.277435
380.859375	-74.767708
381.835938	-74.772896
382.812500	-74.606125
383.789062	-74.759590
384.765625	-74.580307
385.742188	-74.875565
386.718750	-75.159042
387.695312	-75.946815
388.671875	-75.102661
389.648438	-74.084190
390.625000	-74.280205
391.601562	-75.662567
392.578125	-76.718750
393.554688	-76.112862
394.531250	-76.134247
395.507812	-75.527222
396.484375	-75.128975
397.460938	-75.201561
398.437500	-75.716293
399.414062	-75.361656
400.390625	-75.566299
401.367188	-75.563217
402.343750	-75.090752
403.320312	-74.662666
404.296875	-75.122536
405.273438	-76.543793
406.250000	-76.390503
407.226562	-75.422691
408.203125	-75.854897
409.179688	-76.164101
410.156250	-76.437149
411.132812	-75.662865
412.109375	-75.379448
413.085938	-75.295517
414.062500	-76.561989
415.039062	-76.092133
416.015625	-75.188766
416.992188	-75.526054
417.968750	-76.426773
418.945312	-75.845459
419.921875	-76.130692
420.898438	-75.956131
421.875000	-75.559944
422.851562	-75.692307
423.828125	-75.432617
424.804688	-74.949699
425.781250	-75.169044
426.757812	-75.567108
427.734375	-76.080795
428.710938	-76.165352
429.687500	-75.874588
430.664062	-75.491066
431.640625	-74.244896
432.617188	-75.252968
433.593750	-76.032860
434.570312	-75.767754
435.546875	-75.200867
436.523438	-75.436005
437.500000	-74.255745
438.476562	-74.773262
439.453125	-75.839638
440.429688	-76.162422
441.406250	-75.446159
442.382812	-75.532318
443.359375	-75.986916
444.335938	-75.234688
445.312500	-75.788986
446.289062	-75.777733
447.265625	-74.652618
448.242188	-75.258774
449.218750	-74.427505
450.195312	-75.416130
451.171875	-75.276016
452.148438	-75.359314
453.125000	-76.549240
454.101562	-75.354080
455.078125	-74.776085
456.054688	-74.785065
457.031250	-74.974594
458.007812	-75.656631
458.984375	-75.194427
459.960938	-74.745392
460.937500	-74.184425
461.914062	-74.563019
462.890625	-74.541382
463.867188	-74.809692
464.843750	-74.867409
465.820312	-74.519836
466.796875	-73.864853
