Frequency (Hz)	Level (dB)
0.976562	-116.554878
1.953125	-110.573914
2.929688	-102.934410
3.906250	-97.894760
4.882812	-98.096603
5.859375	-95.545685
6.835938	-94.155182
7.812500	-96.376205
8.789062	-94.482872
9.765625	-91.404663
10.742188	-86.610962
11.718750	-85.415237
12.695312	-84.801117
13.671875	-85.859360
14.648438	-86.980362
15.625000	-86.050575
16.601562	-84.645226
17.578125	-84.544777
18.554688	-83.101219
19.531250	-83.311417
20.507812	-83.835838
21.484375	-82.975632
22.460938	-81.236153
23.437500	-80.209724
24.414062	-82.055855
25.390625	-83.018456
26.367188	-82.251373
27.343750	-82.377243
28.320312	-80.701126
29.296875	-80.736458
30.273438	-81.589790
31.250000	-81.702774
32.226562	-83.108604
33.203125	-84.234169
34.179688	-83.552361
35.156250	-81.768700
36.132812	-81.515068
37.109375	-81.936195
38.085938	-82.833702
39.062500	-83.249138
40.039062	-82.948570
41.015625	-81.347282
41.992188	-80.587364
42.968750	-80.581909
43.945312	-81.809441
44.921875	-81.813408
45.898438	-81.648155
46.875000	-80.916672
47.851562	-81.239983
48.828125	-81.595245
49.804688	-81.151955
50.781250	-80.260536
51.757812	-79.835831
52.734375	-79.838760
53.710938	-77.980576
54.687500	-78.382034
55.664062	-78.330223
56.640625	-76.648010
57.617188	-77.327744
58.593750	-78.201042
59.570312	-77.937912
60.546875	-77.468582
61.523438	-76.676033
62.500000	-75.588463
63.476562	-77.480606
64.453125	-79.666527
65.429688	-82.053070
66.406250	-81.804314
67.382812	-82.962021
68.359375	-81.859604
69.335938	-80.235214
70.312500	-79.639038
71.289062	-79.645012
72.265625	-80.532562
73.242188	-79.980453
74.218750	-79.934067
75.195312	-79.247200
76.171875	-79.830208
77.148438	-81.029175
78.125000	-80.537712
79.101562	-80.993965
80.078125	-82.354141
81.054688	-83.213219
82.031250	-82.871010
83.007812	-82.698349
83.984375	-81.904884
84.960938	-80.747482
85.937500	-79.775253
86.914062	-80.738602
87.890625	-81.445168
88.867188	-81.736786
89.843750	-81.324844
90.820312	-81.939201
91.796875	-82.691956
92.773438	-82.203598
93.750000	-81.699966
94.726562	-82.031494
95.703125	-83.036087
96.679688	-82.631210
97.656250	-82.283661
98.632812	-82.709770
99.609375	-83.874146
100.585938	-83.695999
101.562500	-82.326653
102.539062	-81.734673
103.515625	-81.580612
104.492188	-82.075813
105.468750	-81.688591
106.445312	-82.539299
107.421875	-81.770424
108.398438	-82.291115
109.375000	-81.485596
110.351562	-80.832718
111.328125	-81.740051
112.304688	-82.643738
113.281250	-80.269341
114.257812	-78.541130
115.234375	-79.842537
116.210938	-81.772125
117.187500	-80.367012
118.164062	-78.486526
119.140625	-74.343575
120.117188	-70.728348
121.093750	-74.612038
122.070312	-79.760757
123.046875	-82.671745
124.023438	-82.445351
125.000000	-81.595566
125.976562	-82.157234
126.953125	-82.305641
127.929688	-82.670631
128.906250	-81.823700
129.882812	-81.610123
130.859375	-81.541748
131.835938	-81.993896
132.812500	-82.060600
133.789062	-81.864021
134.765625	-82.434761
135.742188	-81.167000
136.718750	-81.336319
137.695312	-82.706322
138.671875	-81.912560
139.648438	-81.013863
140.625000	-80.824699
141.601562	-81.136070
142.578125	-80.526108
143.554688	-80.658455
144.531250	-80.794876
145.507812	-80.695183
146.484375	-80.780098
147.460938	-80.784187
148.437500	-80.018562
149.414062	-79.552094
150.390625	-79.946869
151.367188	-79.799515
152.343750	-80.047707
153.320312	-80.952576
154.296875	-80.520721
155.273438	-80.225777
156.250000	-80.002853
157.226562	-79.662720
158.203125	-78.811317
159.179688	-79.540573
160.156250	-79.269928
161.132812	-80.364777
162.109375	-79.894333
163.085938	-80.099579
164.062500	-80.874878
165.039062	-80.314537
166.015625	-79.734756
166.992188	-79.034531
167.968750	-79.819176
168.945312	-80.727592
169.921875	-80.063896
170.898438	-80.464767
171.875000	-79.306000
172.851562	-79.329659
173.828125	-80.505287
174.804688	-80.151031
175.781250	-80.050629
176.757812	-79.209869
177.734375	-79.634560
178.710938	-79.363991
179.687500	-78.573349
180.664062	-79.819313
181.640625	-80.714165
182.617188	-79.966240
183.593750	-79.720963
184.570312	-78.881950
185.546875	-79.662727
186.523438	-80.370102
187.500000	-80.600075
188.476562	-79.771622
189.453125	-79.268822
190.429688	-78.712982
191.406250	-78.987946
192.382812	-78.683838
193.359375	-78.872948
194.335938	-77.646477
195.312500	-77.075211
196.289062	-77.682144
197.265625	-78.491188
198.242188	-78.052246
199.218750	-77.844284
200.195312	-77.814201
201.171875	-78.009995
202.148438	-76.523445
203.125000	-76.590057
204.101562	-77.222267
205.078125	-77.235275
206.054688	-76.778931
207.031250	-76.828415
208.007812	-77.197174
208.984375	-77.333488
209.960938	-76.590065
210.937500	-76.462807
211.914062	-76.009117
212.890625	-75.259491
213.867188	-74.643372
214.843750	-75.260513
215.820312	-75.957619
216.796875	-74.649025
217.773438	-74.622696
218.750000	-76.477768
219.726562	-74.919121
220.703125	-74.398186
221.679688	-74.704292
222.656250	-75.124870
223.632812	-73.727226
224.609375	-73.968506
225.585938	-74.840240
226.562500	-74.375053
227.539062	-74.080070
228.515625	-74.448151
229.492188	-73.043510
230.468750	-73.684509
231.445312	-73.238441
232.421875	-72.460854
233.398438	-72.227112
234.375000	-71.576134
235.351562	-72.886536
236.328125	-72.511719
237.304688	-72.055809
238.281250	-73.119873
239.257812	-71.057144
240.234375	-68.541412
