Frequency (Hz)	Level (dB)
0.976562	-117.366821
1.953125	-112.010193
2.929688	-104.379967
3.906250	-99.489616
4.882812	-97.772003
5.859375	-92.474800
6.835938	-91.770813
7.812500	-94.699135
8.789062	-93.974098
9.765625	-90.222916
10.742188	-86.125000
11.718750	-85.604134
12.695312	-84.950172
13.671875	-85.133865
14.648438	-87.252953
15.625000	-85.976196
16.601562	-85.944939
17.578125	-86.401001
18.554688	-84.979912
19.531250	-84.434036
20.507812	-83.260132
21.484375	-83.169823
22.460938	-81.667816
23.437500	-81.078857
24.414062	-81.786896
25.390625	-81.854630
26.367188	-81.930702
27.343750	-81.032738
28.320312	-81.687798
29.296875	-81.766937
30.273438	-82.082108
31.250000	-82.582848
32.226562	-81.595345
33.203125	-81.747017
34.179688	-81.163162
35.156250	-81.206284
36.132812	-81.098587
37.109375	-81.177261
38.085938	-82.437874
39.062500	-83.125671
40.039062	-82.064735
41.015625	-80.518669
41.992188	-81.227463
42.968750	-81.793716
43.945312	-82.504768
44.921875	-81.784584
45.898438	-80.939751
46.875000	-80.034370
47.851562	-81.001030
48.828125	-81.609436
49.804688	-81.074280
50.781250	-79.266029
51.757812	-78.769173
52.734375	-79.188995
53.710938	-78.626686
54.687500	-78.517303
55.664062	-77.788368
56.640625	-75.928444
57.617188	-76.263809
58.593750	-76.421448
59.570312	-76.620026
60.546875	-77.205521
61.523438	-76.936592
62.500000	-76.098671
63.476562	-76.500519
64.453125	-78.956367
65.429688	-80.424309
66.406250	-80.701836
67.382812	-81.297714
68.359375	-82.384232
69.335938	-79.944321
70.312500	-78.563255
71.289062	-78.805138
72.265625	-79.590622
73.242188	-79.110519
74.218750	-77.791595
75.195312	-77.602867
76.171875	-79.198059
77.148438	-80.389908
78.125000	-80.932297
79.101562	-80.976624
80.078125	-81.571335
81.054688	-82.138870
82.031250	-81.818756
83.007812	-80.560951
83.984375	-79.914581
84.960938	-79.839783
85.937500	-79.385162
86.914062	-79.013908
87.890625	-79.062271
88.867188	-79.947884
89.843750	-79.872452
90.820312	-79.349182
91.796875	-81.262405
92.773438	-80.669136
93.750000	-80.125908
94.726562	-81.229378
95.703125	-80.898842
96.679688	-80.548401
97.656250	-80.714943
98.632812	-79.736336
99.609375	-79.803680
100.585938	-80.533859
101.562500	-79.672348
102.539062	-79.031090
103.515625	-78.417694
104.492188	-79.426384
105.468750	-79.775230
106.445312	-79.309425
107.421875	-80.708054
108.398438	-80.423187
109.375000	-79.393074
110.351562	-79.201279
111.328125	-79.702042
112.304688	-79.462708
113.281250	-77.337860
114.257812	-76.642502
115.234375	-77.767288
116.210938	-77.245857
117.187500	-77.487335
118.164062	-74.922775
119.140625	-69.319962
120.117188	-65.993996
121.093750	-69.837181
122.070312	-74.206726
123.046875	-78.250587
124.023438	-78.740425
125.000000	-78.363792
125.976562	-78.663979
126.953125	-78.621704
127.929688	-78.583931
128.906250	-78.903130
129.882812	-78.213417
130.859375	-77.538025
131.835938	-77.530548
132.812500	-77.695427
133.789062	-76.999397
134.765625	-77.594330
135.742188	-76.808067
136.718750	-77.569489
137.695312	-77.770317
