Frequency (Hz)	Level (dB)
0.976562	-117.463707
1.953125	-111.490608
2.929688	-104.597824
3.906250	-98.909950
4.882812	-98.990227
5.859375	-95.978722
6.835938	-94.095955
7.812500	-94.753212
8.789062	-90.327301
9.765625	-85.528587
10.742188	-81.005722
11.718750	-78.653976
12.695312	-77.804359
13.671875	-77.531372
14.648438	-77.343369
15.625000	-77.904915
16.601562	-78.720421
17.578125	-79.030487
18.554688	-78.676491
19.531250	-79.836800
20.507812	-81.532669
21.484375	-81.551483
22.460938	-81.461830
23.437500	-81.543839
24.414062	-82.494568
25.390625	-81.778984
26.367188	-81.670601
27.343750	-82.199753
28.320312	-81.762589
29.296875	-81.394829
30.273438	-81.374794
31.250000	-81.671265
32.226562	-81.459366
33.203125	-81.537468
34.179688	-81.687073
35.156250	-81.744499
36.132812	-80.300179
37.109375	-78.788223
38.085938	-77.740265
39.062500	-78.046227
40.039062	-78.696152
41.015625	-78.174240
41.992188	-77.937317
42.968750	-79.533981
43.945312	-80.452225
44.921875	-81.167778
45.898438	-81.024483
46.875000	-80.020836
47.851562	-81.120964
48.828125	-80.930573
49.804688	-79.973511
50.781250	-80.313583
51.757812	-79.500381
52.734375	-78.186623
53.710938	-77.586922
54.687500	-77.744446
55.664062	-78.027298
56.640625	-76.420799
57.617188	-75.968254
58.593750	-75.695221
59.570312	-75.282120
60.546875	-75.683678
61.523438	-75.609474
62.500000	-74.404594
63.476562	-73.202011
64.453125	-76.425926
65.429688	-79.907776
66.406250	-80.633675
67.382812	-81.039925
68.359375	-80.891853
69.335938	-78.941711
70.312500	-78.374474
71.289062	-78.994125
72.265625	-79.428757
73.242188	-78.622292
74.218750	-76.904922
75.195312	-77.662590
76.171875	-78.612167
77.148438	-79.687775
78.125000	-80.774391
79.101562	-81.840919
80.078125	-82.188118
81.054688	-81.886208
82.031250	-82.901505
83.007812	-83.111176
83.984375	-81.229744
84.960938	-79.951408
85.937500	-79.404495
86.914062	-79.489769
87.890625	-80.882240
88.867188	-81.103973
89.843750	-80.833778
90.820312	-81.903694
91.796875	-81.981606
92.773438	-82.261024
93.750000	-83.931160
94.726562	-84.556465
95.703125	-84.004936
96.679688	-83.629532
97.656250	-83.481186
98.632812	-83.179558
99.609375	-82.820534
100.585938	-83.046707
101.562500	-83.414818
102.539062	-83.300270
