Frequency (Hz)	Level (dB)
0.976562	-116.983421
1.953125	-111.059929
2.929688	-105.043381
3.906250	-101.219803
4.882812	-100.384949
5.859375	-97.869186
6.835938	-96.183533
7.812500	-96.553001
8.789062	-96.574440
9.765625	-93.456100
10.742188	-88.024887
11.718750	-86.797150
12.695312	-87.494415
13.671875	-88.266441
14.648438	-90.100151
15.625000	-89.475113
16.601562	-88.622551
17.578125	-88.031479
18.554688	-85.658302
19.531250	-86.173317
20.507812	-85.916954
21.484375	-84.453537
22.460938	-84.096786
23.437500	-83.597267
24.414062	-83.643394
25.390625	-82.631889
26.367188	-82.685997
27.343750	-84.159653
28.320312	-84.602455
29.296875	-84.159729
30.273438	-83.997009
31.250000	-84.670273
32.226562	-84.127342
33.203125	-84.924736
34.179688	-84.655251
35.156250	-83.919296
36.132812	-83.836792
37.109375	-82.447533
38.085938	-83.005585
39.062500	-84.419472
40.039062	-84.638809
41.015625	-83.764099
41.992188	-82.334671
42.968750	-82.436729
43.945312	-83.588104
44.921875	-83.954308
45.898438	-84.239815
46.875000	-82.794220
47.851562	-82.802063
48.828125	-82.383118
49.804688	-81.554604
50.781250	-79.911148
51.757812	-80.427490
52.734375	-80.710793
53.710938	-79.363045
54.687500	-79.055504
55.664062	-79.284271
56.640625	-78.696014
57.617188	-78.607483
58.593750	-78.254959
59.570312	-78.020767
60.546875	-77.076500
61.523438	-77.192398
62.500000	-75.513931
63.476562	-76.107468
64.453125	-79.578629
65.429688	-81.474945
66.406250	-81.604813
67.382812	-82.712852
68.359375	-82.680389
69.335938	-81.718498
70.312500	-80.731735
71.289062	-81.503281
72.265625	-82.240555
73.242188	-81.505165
74.218750	-80.552742
75.195312	-80.870705
76.171875	-81.306297
77.148438	-81.136223
78.125000	-81.142906
79.101562	-82.674911
80.078125	-84.225845
81.054688	-83.819427
82.031250	-83.050911
83.007812	-82.956528
83.984375	-82.429428
84.960938	-81.490021
85.937500	-80.306396
86.914062	-79.726128
87.890625	-81.374557
88.867188	-82.812920
89.843750	-81.954498
90.820312	-82.970886
91.796875	-83.695381
92.773438	-83.194313
93.750000	-83.465019
94.726562	-83.505020
95.703125	-82.984627
96.679688	-82.452919
97.656250	-83.611847
98.632812	-83.714890
99.609375	-83.952583
100.585938	-83.495476
101.562500	-82.427155
102.539062	-82.689201
103.515625	-82.064323
104.492188	-82.078842
105.468750	-81.608025
106.445312	-81.811310
107.421875	-82.204903
108.398438	-83.065582
109.375000	-82.266487
110.351562	-81.486900
111.328125	-81.971405
112.304688	-82.804794
113.281250	-81.271446
114.257812	-79.804611
115.234375	-80.990524
116.210938	-82.442375
117.187500	-82.287125
118.164062	-82.072495
119.140625	-78.136894
120.117188	-74.215477
121.093750	-78.564629
122.070312	-82.344002
123.046875	-82.110031
124.023438	-82.439720
125.000000	-82.112686
125.976562	-83.096565
126.953125	-82.722000
127.929688	-82.034088
128.906250	-81.892097
129.882812	-81.918503
130.859375	-82.035393
131.835938	-82.076553
132.812500	-81.915932
133.789062	-82.332634
134.765625	-82.570526
135.742188	-81.448143
136.718750	-82.409386
137.695312	-82.828773
138.671875	-82.265434
139.648438	-82.168358
140.625000	-81.721436
141.601562	-81.359901
142.578125	-81.526550
143.554688	-81.697083
144.531250	-81.235565
145.507812	-81.632439
146.484375	-82.534599
147.460938	-82.064133
148.437500	-81.408813
149.414062	-80.976974
150.390625	-81.550224
151.367188	-81.997032
152.343750	-82.081665
153.320312	-82.489197
154.296875	-82.334641
155.273438	-81.857529
156.250000	-81.643890
157.226562	-82.478638
158.203125	-82.511482
159.179688	-82.551109
160.156250	-81.608017
161.132812	-81.599243
162.109375	-80.332932
163.085938	-81.703003
164.062500	-82.026619
165.039062	-80.872803
166.015625	-80.634209
166.992188	-80.297485
167.968750	-80.985748
168.945312	-82.007935
169.921875	-81.810883
170.898438	-81.363701
171.875000	-81.692360
172.851562	-81.284424
173.828125	-82.006981
174.804688	-81.808868
175.781250	-82.007965
176.757812	-81.426819
177.734375	-80.595299
178.710938	-80.404221
179.687500	-80.166206
180.664062	-81.108414
181.640625	-82.297379
182.617188	-81.523895
183.593750	-81.432663
184.570312	-80.741470
185.546875	-81.113770
186.523438	-81.977127
187.500000	-82.198769
188.476562	-81.518021
189.453125	-81.412247
190.429688	-81.033951
191.406250	-81.220078
192.382812	-80.327568
193.359375	-80.432053
194.335938	-79.725204
195.312500	-79.455238
196.289062	-80.811111
197.265625	-81.303764
198.242188	-80.953995
199.218750	-80.691322
200.195312	-80.136436
201.171875	-80.502647
202.148438	-79.785278
203.125000	-79.590164
204.101562	-80.241852
205.078125	-80.465508
206.054688	-79.823189
207.031250	-80.045990
208.007812	-80.457405
208.984375	-80.706596
209.960938	-80.242996
210.937500	-80.222168
211.914062	-79.513916
212.890625	-78.848831
213.867188	-78.470131
214.843750	-79.522438
215.820312	-79.757927
216.796875	-78.709267
217.773438	-78.902054
218.750000	-80.943161
219.726562	-80.069817
220.703125	-79.425049
221.679688	-79.897369
222.656250	-80.306343
223.632812	-78.834061
224.609375	-79.285683
225.585938	-80.175598
226.562500	-79.798737
227.539062	-79.171249
228.515625	-80.483940
229.492188	-79.275429
230.468750	-79.740921
231.445312	-79.215759
232.421875	-78.704216
233.398438	-78.645454
234.375000	-78.327309
235.351562	-79.656548
236.328125	-79.668510
237.304688	-79.894737
238.281250	-80.899429
239.257812	-79.203346
240.234375	-77.841354
241.210938	-78.056351
242.187500	-78.207832
243.164062	-78.731674
244.140625	-78.296829
245.117188	-78.298714
246.093750	-78.728287
247.070312	-78.446991
248.046875	-78.177956
249.023438	-77.391968
250.000000	-77.237450
250.976562	-77.822906
251.953125	-78.166924
252.929688	-76.709976
253.906250	-76.883011
254.882812	-76.644547
255.859375	-76.183113
256.835938	-77.110672
257.812500	-77.401115
258.789062	-77.565506
259.765625	-78.278328
260.742188	-77.267868
261.718750	-77.720337
262.695312	-77.187103
263.671875	-77.348122
264.648438	-77.638664
265.625000	-76.479477
266.601562	-76.192207
267.578125	-75.328697
268.554688	-75.530128
269.531250	-77.083656
270.507812	-76.295433
271.484375	-75.819542
272.460938	-76.001251
273.437500	-76.945374
274.414062	-76.235374
275.390625	-75.762329
276.367188	-74.640007
277.343750	-74.905785
278.320312	-76.280411
279.296875	-76.281731
280.273438	-76.963951
281.250000	-75.915771
282.226562	-74.821404
283.203125	-74.986435
284.179688	-75.107277
285.156250	-74.484215
286.132812	-74.592987
287.109375	-74.797043
288.085938	-74.298592
289.062500	-73.799957
290.039062	-73.579819
291.015625	-73.850533
291.992188	-73.697044
292.968750	-73.195206
293.945312	-73.065262
294.921875	-73.501396
295.898438	-73.732460
296.875000	-73.907219
297.851562	-73.811806
298.828125	-73.718956
299.804688	-73.722702
300.781250	-74.199829
301.757812	-72.806999
302.734375	-72.468124
303.710938	-73.099983
304.687500	-73.404961
305.664062	-72.508118
306.640625	-71.259705
307.617188	-72.425522
308.593750	-72.493637
309.570312	-70.583282
310.546875	-71.435844
311.523438	-72.385849
312.500000	-71.234261
313.476562	-70.585258
314.453125	-70.639580
315.429688	-70.405670
316.406250	-69.854935
317.382812	-70.112053
318.359375	-70.325386
319.335938	-70.315369
320.312500	-70.594261
321.289062	-70.313248
322.265625	-70.305901
323.242188	-69.647011
324.218750	-68.943130
325.195312	-69.121002
326.171875	-69.492767
327.148438	-69.299370
328.125000	-69.314896
329.101562	-67.182732
330.078125	-67.605568
331.054688	-67.188873
332.031250	-67.281342
333.007812	-66.567596
333.984375	-66.512833
334.960938	-66.678108
335.937500	-66.384239
336.914062	-66.342224
337.890625	-65.811623
338.867188	-65.784142
339.843750	-65.946289
340.820312	-64.960228
341.796875	-65.374672
342.773438	-64.684486
343.750000	-64.035988
344.726562	-63.954319
345.703125	-64.047264
346.679688	-63.622227
347.656250	-62.984303
348.632812	-63.351524
349.609375	-63.721207
350.585938	-63.116508
351.562500	-60.884464
352.539062	-61.387794
353.515625	-60.878437
354.492188	-60.363171
355.468750	-60.845211
356.445312	-61.044621
357.421875	-61.310665
358.398438	-62.516003
359.375000	-60.930088
360.351562	-60.448467
361.328125	-61.493584
362.304688	-60.886497
363.281250	-60.589184
364.257812	-60.992546
365.234375	-62.231525
366.210938	-62.646149
367.187500	-61.660618
368.164062	-61.899239
369.140625	-61.803661
370.117188	-62.521145
371.093750	-62.484238
372.070312	-62.833271
373.046875	-62.129005
374.023438	-62.455105
375.000000	-63.076061
375.976562	-63.939945
376.953125	-63.958614
377.929688	-64.362923
378.906250	-64.362808
379.882812	-64.126793
380.859375	-64.810059
381.835938	-65.060959
382.812500	-65.049873
383.789062	-65.319221
384.765625	-65.462852
385.742188	-65.970535
386.718750	-66.436707
387.695312	-67.342644
388.671875	-66.645088
389.648438	-65.895256
390.625000	-66.193314
391.601562	-67.727928
392.578125	-69.090179
393.554688	-68.769592
394.531250	-68.679710
395.507812	-68.177567
396.484375	-68.132286
397.460938	-68.373466
398.437500	-68.782753
399.414062	-68.547966
400.390625	-68.964584
401.367188	-69.232285
402.343750	-68.929436
403.320312	-68.685188
404.296875	-69.194473
405.273438	-70.764343
406.250000	-70.696053
407.226562	-70.091789
408.203125	-70.554840
409.179688	-70.779503
410.156250	-71.215469
411.132812	-70.629616
412.109375	-70.522552
413.085938	-70.483376
414.062500	-72.007095
415.039062	-71.817268
416.015625	-70.883293
416.992188	-71.243179
417.968750	-72.374878
418.945312	-72.038948
419.921875	-72.246971
420.898438	-72.015579
421.875000	-71.856071
422.851562	-71.906174
423.828125	-71.897247
424.804688	-71.597626
425.781250	-71.967583
426.757812	-72.380707
427.734375	-72.785614
428.710938	-72.910881
429.687500	-72.760544
430.664062	-72.661209
431.640625	-71.597694
432.617188	-72.761444
433.593750	-73.543060
434.570312	-73.432259
435.546875	-72.955650
436.523438	-73.268700
437.500000	-72.209656
438.476562	-72.743912
439.453125	-73.791962
440.429688	-74.393082
441.406250	-73.758072
442.382812	-73.733925
443.359375	-74.201569
444.335938	-73.592926
445.312500	-74.224594
446.289062	-74.436668
447.265625	-73.597733
448.242188	-74.375687
449.218750	-73.594452
450.195312	-74.553726
451.171875	-74.103348
452.148438	-74.436172
453.125000	-75.838173
454.101562	-74.742310
455.078125	-74.279488
456.054688	-74.424339
457.031250	-74.622955
458.007812	-75.316002
458.984375	-75.049309
459.960938	-74.645584
460.937500	-74.210396
461.914062	-74.731674
462.890625	-74.830826
463.867188	-75.101982
464.843750	-75.404320
465.820312	-75.221840
466.796875	-74.394066
467.773438	-74.348030
468.750000	-74.993896
469.726562	-74.569878
470.703125	-75.170486
471.679688	-76.063568
472.656250	-75.402412
473.632812	-75.837204
474.609375	-75.803246
475.585938	-76.011131
476.562500	-75.670975
477.539062	-75.953148
478.515625	-75.974731
479.492188	-76.665749
480.468750	-76.156540
481.445312	-75.833237
482.421875	-76.445320
483.398438	-75.867218
484.375000	-76.086586
485.351562	-76.303841
486.328125	-75.947479
487.304688	-75.970917
488.281250	-76.844566
489.257812	-75.250923
490.234375	-75.260872
491.210938	-76.622528
492.187500	-77.026505
493.164062	-75.529961
494.140625	-75.558205
495.117188	-76.284019
496.093750	-76.364853
497.070312	-77.035988
498.046875	-76.907669
499.023438	-76.949234
500.000000	-77.572487
500.976562	-76.145844
501.953125	-75.445145
502.929688	-76.503922
503.906250	-76.612999
504.882812	-76.970467
505.859375	-76.968018
506.835938	-76.120407
507.812500	-76.074684
508.789062	-76.914932
509.765625	-76.880905
510.742188	-76.211891
511.718750	-76.344299
512.695312	-76.798691
513.671875	-77.161018
514.648438	-76.693169
515.625000	-76.135933
516.601562	-76.153450
517.578125	-76.974854
518.554688	-76.561676
519.531250	-76.535591
520.507812	-76.901421
521.484375	-76.803467
522.460938	-77.162109
523.437500	-77.262291
524.414062	-76.817108
525.390625	-77.550369
526.367188	-77.763283
527.343750	-77.511429
528.320312	-77.065338
529.296875	-76.873642
530.273438	-77.120750
531.250000	-76.776596
532.226562	-76.241089
533.203125	-75.739098
534.179688	-76.331764
535.156250	-76.763290
536.132812	-76.500992
537.109375	-76.630814
538.085938	-76.753197
539.062500	-76.681015
540.039062	-77.001877
541.015625	-77.222137
541.992188	-75.901115
542.968750	-75.827255
543.945312	-76.557747
544.921875	-76.493538
545.898438	-77.121826
546.875000	-77.367104
547.851562	-75.926056
548.828125	-76.562073
549.804688	-76.972618
550.781250	-77.059395
551.757812	-76.849411
552.734375	-75.997116
553.710938	-75.934036
554.687500	-75.504784
555.664062	-76.066101
556.640625	-76.408119
557.617188	-76.528587
558.593750	-76.034470
559.570312	-76.257072
560.546875	-77.110420
561.523438	-77.005928
562.500000	-76.360054
563.476562	-75.549706
564.453125	-75.356583
565.429688	-76.330757
566.406250	-76.941887
567.382812	-76.455185
568.359375	-76.143227
569.335938	-76.324005
570.312500	-75.898041
571.289062	-76.284721
572.265625	-76.238815
573.242188	-76.036514
574.218750	-77.517570
575.195312	-76.862671
576.171875	-75.926201
577.148438	-75.807228
578.125000	-75.900764
579.101562	-76.565666
580.078125	-76.445427
581.054688	-76.086761
582.031250	-75.903488
583.007812	-75.710655
583.984375	-76.191429
584.960938	-76.711716
585.937500	-75.933067
586.914062	-75.202515
587.890625	-75.330666
588.867188	-75.632683
589.843750	-75.374382
590.820312	-75.268623
591.796875	-76.233757
592.773438	-75.074265
593.750000	-75.332588
594.726562	-75.997520
595.703125	-75.425056
596.679688	-74.619621
597.656250	-75.096970
598.632812	-74.932625
599.609375	-74.696518
600.585938	-75.515633
601.562500	-74.752289
602.539062	-75.263428
603.515625	-75.680466
604.492188	-75.128532
605.468750	-74.604660
606.445312	-74.517906
607.421875	-74.445763
608.398438	-75.411087
609.375000	-75.066734
610.351562	-74.370331
611.328125	-74.718231
612.304688	-74.656776
613.281250	-74.926567
614.257812	-75.060944
615.234375	-74.444450
616.210938	-74.208977
617.187500	-74.148415
618.164062	-74.198563
619.140625	-74.821625
620.117188	-73.975395
621.093750	-73.447998
622.070312	-73.827759
623.046875	-74.173424
624.023438	-73.854065
625.000000	-73.478783
625.976562	-72.918106
626.953125	-72.531227
627.929688	-73.027779
628.906250	-73.386314
629.882812	-73.721115
630.859375	-74.023224
631.835938	-74.111572
632.812500	-72.169205
633.789062	-72.270264
634.765625	-74.084564
635.742188	-72.630318
636.718750	-72.471512
637.695312	-72.120712
638.671875	-71.817223
639.648438	-72.106728
640.625000	-72.642189
641.601562	-72.564636
642.578125	-71.995529
643.554688	-71.736618
644.531250	-70.898926
645.507812	-70.406830
646.484375	-71.804222
647.460938	-71.571869
648.437500	-71.634476
649.414062	-71.400856
650.390625	-70.931679
651.367188	-70.675270
652.343750	-70.182220
653.320312	-70.538788
654.296875	-70.716339
655.273438	-70.333031
656.250000	-70.366104
657.226562	-70.743164
658.203125	-70.492004
659.179688	-70.207176
660.156250	-69.872070
661.132812	-70.942116
662.109375	-69.896088
663.085938	-69.083321
664.062500	-69.078354
665.039062	-68.677811
666.015625	-68.983253
666.992188	-69.253441
667.968750	-69.512215
668.945312	-69.053749
669.921875	-68.943359
670.898438	-68.801094
671.875000	-68.007111
672.851562	-67.603012
673.828125	-68.200905
674.804688	-68.292671
675.781250	-68.599106
676.757812	-68.280670
677.734375	-68.095322
678.710938	-67.373779
679.687500	-67.428497
680.664062	-65.851540
681.640625	-65.004959
682.617188	-65.397896
683.593750	-65.064491
684.570312	-65.033958
685.546875	-64.870247
686.523438	-64.545311
687.500000	-65.481331
688.476562	-64.782440
689.453125	-64.523117
690.429688	-66.018616
691.406250	-64.979660
692.382812	-64.274208
693.359375	-63.781540
694.335938	-63.684914
695.312500	-64.218750
696.289062	-64.189125
697.265625	-62.686314
698.242188	-62.402260
699.218750	-63.488468
700.195312	-62.205124
701.171875	-61.485561
702.148438	-61.356453
703.125000	-60.625217
704.101562	-59.984680
705.078125	-60.364342
706.054688	-59.658077
707.031250	-60.301277
708.007812	-60.625889
708.984375	-59.953926
709.960938	-59.603210
710.937500	-58.461529
711.914062	-59.091572
712.890625	-58.883793
713.867188	-58.133659
714.843750	-58.371033
715.820312	-58.012562
716.796875	-58.518177
717.773438	-59.077698
718.750000	-58.868511
719.726562	-59.180511
720.703125	-59.377880
721.679688	-58.788624
722.656250	-59.292175
723.632812	-59.872265
724.609375	-59.624317
725.585938	-58.951366
726.562500	-59.322041
727.539062	-60.895462
728.515625	-60.577835
729.492188	-60.885559
730.468750	-60.763809
731.445312	-61.106205
732.421875	-62.447578
733.398438	-62.787014
734.375000	-61.636478
735.351562	-62.090721
736.328125	-63.101929
737.304688	-63.506901
738.281250	-62.663364
739.257812	-62.391335
740.234375	-63.203259
741.210938	-64.225655
742.187500	-63.099010
743.164062	-63.407215
744.140625	-64.954826
745.117188	-64.643028
746.093750	-65.138428
747.070312	-65.235962
748.046875	-65.103767
749.023438	-65.592789
750.000000	-66.298164
750.976562	-65.741539
751.953125	-65.801292
752.929688	-67.087433
753.906250	-66.962746
754.882812	-66.729652
755.859375	-67.322044
756.835938	-67.404343
757.812500	-67.821556
758.789062	-67.535736
759.765625	-67.272293
760.742188	-67.668854
761.718750	-68.336533
762.695312	-68.129700
763.671875	-67.862732
764.648438	-67.609482
765.625000	-68.201485
766.601562	-68.919815
767.578125	-68.482849
768.554688	-68.218719
769.531250	-69.289948
770.507812	-69.147789
771.484375	-69.751472
772.460938	-70.211212
773.437500	-69.735611
774.414062	-69.551788
775.390625	-69.162689
776.367188	-69.392616
777.343750	-70.002068
778.320312	-70.361313
779.296875	-70.634766
780.273438	-71.301407
781.250000	-71.456306
782.226562	-71.301064
783.203125	-70.743637
784.179688	-70.427544
785.156250	-70.395134
786.132812	-70.352722
787.109375	-70.243774
788.085938	-70.308723
789.062500	-71.681587
790.039062	-71.555801
791.015625	-71.790840
791.992188	-70.969566
792.968750	-70.733200
793.945312	-71.007248
794.921875	-71.326447
795.898438	-71.477356
796.875000	-71.058556
797.851562	-70.415115
798.828125	-70.337982
799.804688	-71.101433
800.781250	-72.139488
801.757812	-72.090340
802.734375	-72.051750
803.710938	-72.315758
804.687500	-72.238518
805.664062	-71.985588
806.640625	-72.784866
807.617188	-72.757446
808.593750	-72.440735
809.570312	-71.636734
810.546875	-72.108177
811.523438	-73.643013
812.500000	-72.494209
813.476562	-71.824417
814.453125	-72.502907
815.429688	-72.363495
816.406250	-72.097229
817.382812	-72.617569
818.359375	-72.644676
819.335938	-72.635788
820.312500	-72.486649
821.289062	-73.313744
822.265625	-73.688858
823.242188	-72.984833
824.218750	-73.265640
825.195312	-72.789162
826.171875	-72.624062
827.148438	-72.589645
828.125000	-73.860626
829.101562	-73.598816
830.078125	-72.810776
831.054688	-73.043175
832.031250	-73.222374
833.007812	-73.520065
833.984375	-73.686562
834.960938	-74.328072
835.937500	-74.568947
836.914062	-73.980553
837.890625	-74.321175
838.867188	-74.057625
839.843750	-74.564842
840.820312	-74.530418
841.796875	-74.319809
842.773438	-74.610321
843.750000	-73.552658
844.726562	-73.277008
845.703125	-75.079239
846.679688	-74.969231
847.656250	-73.334244
848.632812	-73.579910
849.609375	-73.869156
850.585938	-74.429359
851.562500	-74.597160
852.539062	-74.276321
853.515625	-74.099121
854.492188	-74.426476
855.468750	-73.914848
856.445312	-73.821220
857.421875	-73.686401
858.398438	-74.645966
859.375000	-74.955917
860.351562	-74.507370
861.328125	-74.471748
862.304688	-74.151665
863.281250	-75.041443
864.257812	-74.335121
865.234375	-74.696739
866.210938	-74.300446
867.187500	-74.615013
868.164062	-74.102837
869.140625	-74.026543
870.117188	-73.801056
871.093750	-74.094643
872.070312	-74.290817
873.046875	-74.089653
874.023438	-74.115700
875.000000	-74.638069
875.976562	-74.596748
876.953125	-74.241928
877.929688	-75.513237
878.906250	-75.701279
879.882812	-74.735092
880.859375	-73.548286
881.835938	-73.622925
882.812500	-73.970398
883.789062	-74.612236
884.765625	-75.742851
885.742188	-74.491356
886.718750	-73.778183
887.695312	-74.340202
888.671875	-73.937119
889.648438	-73.389526
890.625000	-74.640358
891.601562	-75.226860
892.578125	-75.317513
893.554688	-75.493690
894.531250	-75.002205
895.507812	-75.020798
896.484375	-75.377823
897.460938	-74.883621
898.437500	-74.880699
899.414062	-75.783592
900.390625	-74.326645
901.367188	-73.715927
902.343750	-74.052490
903.320312	-74.355415
904.296875	-75.212868
905.273438	-74.716995
906.250000	-73.505081
907.226562	-74.077385
908.203125	-74.930252
909.179688	-74.780533
910.156250	-74.939018
911.132812	-74.053192
912.109375	-73.292435
913.085938	-74.182968
914.062500	-74.290855
915.039062	-74.338608
916.015625	-74.866119
916.992188	-73.793091
917.968750	-73.555733
918.945312	-74.462128
919.921875	-74.156235
920.898438	-74.018524
921.875000	-74.248795
922.851562	-74.110580
923.828125	-73.817627
924.804688	-73.906303
925.781250	-73.825645
926.757812	-74.203362
927.734375	-74.868439
928.710938	-74.497993
929.687500	-74.111946
930.664062	-73.723488
931.640625	-73.441689
932.617188	-72.866852
933.593750	-73.623863
934.570312	-74.207283
935.546875	-72.895088
936.523438	-73.508247
937.500000	-73.440262
938.476562	-73.240738
939.453125	-73.528038
940.429688	-72.838760
941.406250	-72.750755
942.382812	-72.962715
943.359375	-74.096458
944.335938	-74.057999
945.312500	-73.148170
946.289062	-73.698372
947.265625	-73.396202
948.242188	-72.788628
949.218750	-72.215012
950.195312	-72.628021
951.171875	-73.808830
952.148438	-73.249519
953.125000	-72.565826
954.101562	-73.101265
955.078125	-72.814034
956.054688	-73.292450
957.031250	-73.028587
958.007812	-72.892189
958.984375	-72.642647
959.960938	-73.356415
960.937500	-73.785019
961.914062	-73.186737
962.890625	-72.575897
963.867188	-71.764252
964.843750	-72.144798
965.820312	-72.957481
966.796875	-73.212883
967.773438	-73.280846
968.750000	-73.198372
969.726562	-72.793053
970.703125	-71.704071
971.679688	-71.343178
972.656250	-71.568855
973.632812	-71.586563
974.609375	-71.571655
975.585938	-71.818390
976.562500	-71.698853
977.539062	-71.667282
978.515625	-71.216164
979.492188	-70.864311
980.468750	-71.348412
981.445312	-71.024277
982.421875	-71.787590
983.398438	-71.751259
984.375000	-71.459053
985.351562	-71.008049
986.328125	-70.612892
987.304688	-70.278900
988.281250	-71.391258
989.257812	-72.006226
990.234375	-71.977707
991.210938	-71.245415
992.187500	-70.239990
993.164062	-70.861107
994.140625	-70.737244
995.117188	-71.160683
996.093750	-71.006668
997.070312	-70.487045
998.046875	-70.553413
999.023438	-70.136795
1000.000000	-70.044968
1000.976562	-68.944359
1001.953125	-68.817566
1002.929688	-68.654587
1003.906250	-69.698029
1004.882812	-69.295036
1005.859375	-68.378227
1006.835938	-68.884682
1007.812500	-69.430092
1008.789062	-69.466270
1009.765625	-68.997261
1010.742188	-69.086601
1011.718750	-69.406540
1012.695312	-69.714859
1013.671875	-69.054169
1014.648438	-68.285553
1015.625000	-67.631889
1016.601562	-67.203064
1017.578125	-68.079643
1018.554688	-67.472305
1019.531250	-66.989052
1020.507812	-67.143463
1021.484375	-67.686386
1022.460938	-68.035843
1023.437500	-67.772972
1024.414062	-67.045944
1025.390625	-66.538948
1026.367188	-66.648949
1027.343750	-66.353821
1028.320312	-67.415955
1029.296875	-66.711258
1030.273438	-66.592278
1031.250000	-66.977615
1032.226562	-67.174919
1033.203125	-66.335701
1034.179688	-65.967133
1035.156250	-65.936569
1036.132812	-65.080414
1037.109375	-65.427063
1038.085938	-66.139648
1039.062500	-64.767349
1040.039062	-65.653206
1041.015625	-64.664055
1041.992188	-64.420441
1042.968750	-64.421112
1043.945312	-63.253391
1044.921875	-62.452106
1045.898438	-62.271709
1046.875000	-62.288738
1047.851562	-61.878883
1048.828125	-62.666359
1049.804688	-61.879601
1050.781250	-61.428314
1051.757812	-61.872845
1052.734375	-62.578079
1053.710938	-61.577705
1054.687500	-60.864655
1055.664062	-60.437904
1056.640625	-60.336411
1057.617188	-60.418304
1058.593750	-60.462742
1059.570312	-59.522480
1060.546875	-58.425392
1061.523438	-58.465160
1062.500000	-59.665661
1063.476562	-59.592236
1064.453125	-59.059406
1065.429688	-58.096455
1066.406250	-58.154057
1067.382812	-57.569614
1068.359375	-57.021294
1069.335938	-55.799709
1070.312500	-56.464046
1071.289062	-57.065441
1072.265625	-55.745640
1073.242188	-55.229832
1074.218750	-55.342411
1075.195312	-55.858555
1076.171875	-56.428265
1077.148438	-56.635513
1078.125000	-57.185696
1079.101562	-56.439106
1080.078125	-56.606407
1081.054688	-56.690639
1082.031250	-57.120899
1083.007812	-57.463810
1083.984375	-57.208160
1084.960938	-57.110405
1085.937500	-57.337475
1086.914062	-57.967808
1087.890625	-57.504433
1088.867188	-58.726967
1089.843750	-60.264694
1090.820312	-59.759869
1091.796875	-59.653824
1092.773438	-59.558479
1093.750000	-60.199368
1094.726562	-60.109573
1095.703125	-59.356617
