Frequency (Hz)	Level (dB)
0.976562	-116.514450
1.953125	-111.585564
2.929688	-103.703552
3.906250	-98.753067
4.882812	-97.810120
5.859375	-95.282494
6.835938	-93.738472
7.812500	-95.710800
8.789062	-93.119194
9.765625	-88.288094
10.742188	-83.387863
11.718750	-81.279274
12.695312	-81.711365
13.671875	-83.836594
14.648438	-87.156998
15.625000	-86.985336
16.601562	-86.848328
17.578125	-86.114716
18.554688	-84.296692
19.531250	-85.187157
20.507812	-85.318169
21.484375	-83.741898
22.460938	-82.057999
23.437500	-80.849251
24.414062	-81.933289
25.390625	-82.029587
26.367188	-80.385384
27.343750	-79.872307
28.320312	-80.959702
29.296875	-82.141624
30.273438	-83.272766
31.250000	-82.799171
32.226562	-81.632996
33.203125	-82.280807
34.179688	-82.788704
35.156250	-82.747444
36.132812	-82.079521
37.109375	-82.444534
38.085938	-83.811699
39.062500	-83.372192
40.039062	-82.796471
41.015625	-81.820251
41.992188	-81.796974
42.968750	-82.318497
43.945312	-82.367683
44.921875	-83.116829
45.898438	-81.957123
46.875000	-82.179520
47.851562	-81.498367
48.828125	-81.491432
49.804688	-81.442490
50.781250	-80.692032
51.757812	-80.558548
52.734375	-80.891129
53.710938	-79.215729
54.687500	-80.044792
55.664062	-79.454720
56.640625	-77.303627
57.617188	-77.868263
58.593750	-78.028778
59.570312	-78.656403
60.546875	-77.386238
61.523438	-77.184387
62.500000	-76.555763
63.476562	-76.799751
64.453125	-80.238182
65.429688	-83.360329
66.406250	-83.368889
67.382812	-83.399345
68.359375	-83.510811
69.335938	-82.779137
70.312500	-81.381561
71.289062	-81.492737
72.265625	-81.483887
73.242188	-80.802063
74.218750	-80.894363
75.195312	-81.075584
76.171875	-81.623817
77.148438	-83.027748
78.125000	-83.282661
79.101562	-83.848892
80.078125	-84.257507
81.054688	-85.559364
82.031250	-85.440109
83.007812	-84.119652
83.984375	-82.597649
84.960938	-81.854324
85.937500	-81.264870
86.914062	-81.229439
87.890625	-81.899467
88.867188	-81.834175
89.843750	-81.681992
90.820312	-81.932953
91.796875	-82.852936
92.773438	-83.036240
93.750000	-84.216446
94.726562	-84.853561
95.703125	-85.118370
96.679688	-85.661392
97.656250	-84.882866
98.632812	-83.724808
99.609375	-84.625702
100.585938	-85.370064
101.562500	-83.552635
102.539062	-82.836815
103.515625	-83.028625
104.492188	-83.787621
105.468750	-84.131271
106.445312	-84.513229
107.421875	-83.938637
108.398438	-83.630341
109.375000	-83.376083
110.351562	-83.494522
111.328125	-83.959358
112.304688	-84.338226
113.281250	-83.166626
114.257812	-81.669479
115.234375	-82.051003
116.210938	-82.888481
117.187500	-82.622467
118.164062	-79.784210
119.140625	-73.900696
120.117188	-70.018745
121.093750	-75.504913
122.070312	-81.598961
123.046875	-84.228615
124.023438	-84.137314
125.000000	-84.817581
125.976562	-84.906837
126.953125	-83.800453
127.929688	-83.691437
128.906250	-84.211670
129.882812	-83.748512
130.859375	-83.370834
131.835938	-83.180298
132.812500	-83.550255
133.789062	-83.611084
134.765625	-84.028526
135.742188	-83.438316
136.718750	-83.668755
137.695312	-84.408913
138.671875	-84.226997
139.648438	-83.410728
140.625000	-82.665817
141.601562	-82.700470
142.578125	-83.405182
143.554688	-83.169739
144.531250	-82.134811
145.507812	-82.421074
146.484375	-82.308243
147.460938	-82.050705
148.437500	-81.567551
149.414062	-80.697937
150.390625	-81.728249
151.367188	-83.144936
152.343750	-82.552757
153.320312	-82.785858
154.296875	-82.912132
155.273438	-82.912491
156.250000	-83.651451
157.226562	-83.475204
158.203125	-81.787498
159.179688	-82.122025
160.156250	-82.236183
161.132812	-82.709244
162.109375	-81.716133
163.085938	-82.331238
164.062500	-83.198372
165.039062	-82.675529
166.015625	-81.982430
166.992188	-82.149559
167.968750	-82.290222
168.945312	-83.230812
169.921875	-83.091507
170.898438	-82.797195
171.875000	-82.716820
172.851562	-82.345230
173.828125	-83.401871
174.804688	-83.122589
175.781250	-82.566147
176.757812	-81.631798
177.734375	-81.207367
178.710938	-81.798164
179.687500	-81.818886
180.664062	-82.061058
181.640625	-82.832642
182.617188	-82.831558
183.593750	-82.584099
184.570312	-81.671501
185.546875	-82.516350
186.523438	-83.235779
187.500000	-83.330269
188.476562	-82.557335
189.453125	-82.192490
190.429688	-81.959427
191.406250	-81.976593
192.382812	-81.291588
193.359375	-81.550087
194.335938	-80.432976
195.312500	-80.482407
196.289062	-81.960144
197.265625	-82.365654
198.242188	-81.391815
199.218750	-80.714882
200.195312	-80.887787
201.171875	-80.988388
202.148438	-80.106171
203.125000	-80.092598
204.101562	-81.040428
205.078125	-80.956993
206.054688	-80.241898
207.031250	-80.056305
208.007812	-80.248512
208.984375	-80.793709
209.960938	-80.643135
210.937500	-80.414703
211.914062	-79.734398
212.890625	-78.971550
213.867188	-78.450951
214.843750	-79.366470
215.820312	-79.543945
216.796875	-78.923317
217.773438	-78.921249
218.750000	-80.360008
219.726562	-79.257881
220.703125	-78.833549
221.679688	-78.899498
222.656250	-79.237083
223.632812	-78.312706
224.609375	-78.375099
225.585938	-79.251373
226.562500	-78.987770
227.539062	-78.229164
228.515625	-78.933472
229.492188	-77.395752
230.468750	-78.593002
231.445312	-78.573570
232.421875	-77.563950
233.398438	-76.967178
234.375000	-77.121498
235.351562	-78.527046
236.328125	-78.064728
237.304688	-78.219490
238.281250	-78.722420
239.257812	-76.374992
240.234375	-74.727966
241.210938	-74.344444
242.187500	-75.733284
243.164062	-76.419456
244.140625	-76.027763
245.117188	-76.076485
246.093750	-76.138260
247.070312	-75.827591
248.046875	-75.491226
249.023438	-75.007416
250.000000	-74.780525
250.976562	-74.884911
251.953125	-74.858734
252.929688	-73.767502
253.906250	-73.966637
254.882812	-73.104454
255.859375	-72.720642
256.835938	-73.541382
257.812500	-73.566032
258.789062	-73.542717
259.765625	-74.183472
260.742188	-72.931625
261.718750	-73.214493
262.695312	-72.486748
263.671875	-72.565300
264.648438	-72.664833
265.625000	-71.493492
266.601562	-71.070251
267.578125	-70.083763
268.554688	-70.209190
269.531250	-71.321663
270.507812	-70.136559
271.484375	-68.684601
272.460938	-69.310852
273.437500	-70.490707
274.414062	-69.773682
275.390625	-68.863640
276.367188	-67.644836
277.343750	-67.707359
278.320312	-68.744514
279.296875	-68.431885
280.273438	-68.952965
281.250000	-67.753922
282.226562	-66.902405
283.203125	-66.910225
284.179688	-66.855995
285.156250	-66.173721
286.132812	-65.918068
287.109375	-65.757324
288.085938	-65.601646
289.062500	-65.228737
290.039062	-64.685883
291.015625	-64.872955
291.992188	-64.838615
292.968750	-64.633774
293.945312	-64.819740
294.921875	-65.314713
295.898438	-65.316963
296.875000	-66.261963
297.851562	-66.637703
298.828125	-66.568634
299.804688	-66.512093
300.781250	-67.642235
301.757812	-66.713676
302.734375	-66.694221
303.710938	-67.818069
304.687500	-68.693039
305.664062	-68.228073
306.640625	-67.399216
307.617188	-69.086121
308.593750	-69.266052
309.570312	-67.688271
310.546875	-68.999397
311.523438	-70.759407
312.500000	-70.045700
313.476562	-69.391075
314.453125	-69.480240
315.429688	-70.009651
316.406250	-69.782280
317.382812	-70.541016
318.359375	-71.195229
319.335938	-71.291290
