Frequency (Hz)	Level (dB)
0.976562	-116.936676
1.953125	-111.545326
2.929688	-104.854118
3.906250	-101.217735
4.882812	-99.859711
5.859375	-97.887100
6.835938	-96.806000
7.812500	-96.477264
8.789062	-93.567574
9.765625	-88.179008
10.742188	-83.613289
11.718750	-81.794273
12.695312	-81.521217
13.671875	-81.424919
14.648438	-80.380943
15.625000	-80.123299
16.601562	-80.921295
17.578125	-82.120300
18.554688	-82.707855
19.531250	-83.415031
20.507812	-84.986763
21.484375	-85.079773
22.460938	-84.268837
23.437500	-83.603752
24.414062	-84.702995
25.390625	-84.765938
26.367188	-84.252380
27.343750	-83.540810
28.320312	-84.809540
29.296875	-85.169579
30.273438	-85.794762
31.250000	-85.120651
32.226562	-84.287170
33.203125	-84.535141
34.179688	-84.685181
35.156250	-84.422958
36.132812	-82.873489
37.109375	-81.410690
38.085938	-81.148811
39.062500	-81.355927
40.039062	-81.305847
41.015625	-81.378075
41.992188	-81.828316
42.968750	-82.959099
43.945312	-83.886345
44.921875	-84.596916
45.898438	-84.792885
46.875000	-85.134941
47.851562	-84.429100
48.828125	-84.186111
49.804688	-84.415848
50.781250	-83.364456
51.757812	-83.334846
52.734375	-82.859268
53.710938	-81.703583
54.687500	-81.895935
55.664062	-81.145798
56.640625	-80.551964
57.617188	-80.072166
58.593750	-79.778091
59.570312	-79.009811
60.546875	-79.097641
61.523438	-79.058899
62.500000	-77.751236
63.476562	-78.152809
64.453125	-82.141090
65.429688	-84.634087
66.406250	-84.483147
67.382812	-85.023560
68.359375	-84.927795
69.335938	-83.910713
70.312500	-82.531479
71.289062	-82.273865
72.265625	-82.615746
73.242188	-81.700401
74.218750	-80.132240
75.195312	-81.002892
76.171875	-81.082108
77.148438	-81.991463
78.125000	-82.895767
79.101562	-83.322296
80.078125	-83.412071
81.054688	-84.043137
82.031250	-81.936058
83.007812	-80.839531
83.984375	-78.671875
84.960938	-77.391052
85.937500	-78.749580
86.914062	-79.773270
87.890625	-81.362778
88.867188	-82.258514
89.843750	-81.747894
90.820312	-81.820976
91.796875	-80.026169
92.773438	-77.928078
93.750000	-78.118111
94.726562	-80.829979
95.703125	-82.125084
96.679688	-81.952713
97.656250	-83.145439
98.632812	-82.094215
99.609375	-81.808212
100.585938	-81.471901
101.562500	-80.387642
102.539062	-79.655907
103.515625	-78.325150
104.492188	-77.738533
105.468750	-78.685402
106.445312	-80.733063
107.421875	-80.829712
108.398438	-79.329720
109.375000	-78.253540
110.351562	-76.534538
111.328125	-75.760056
112.304688	-75.183434
113.281250	-73.534271
114.257812	-72.049500
115.234375	-70.757248
116.210938	-71.756401
117.187500	-70.228836
118.164062	-64.139694
119.140625	-58.214588
120.117188	-54.365879
121.093750	-59.116211
122.070312	-64.758881
123.046875	-71.580269
124.023438	-74.026672
125.000000	-72.785744
125.976562	-73.644775
126.953125	-73.631218
127.929688	-72.590637
128.906250	-71.791267
129.882812	-70.901550
130.859375	-70.206970
131.835938	-69.689217
132.812500	-68.953430
133.789062	-68.205902
134.765625	-68.723282
135.742188	-67.986397
136.718750	-67.617592
137.695312	-67.197212
138.671875	-67.195442
139.648438	-67.517509
140.625000	-65.944305
141.601562	-65.465584
142.578125	-66.108025
143.554688	-66.251564
144.531250	-66.705055
145.507812	-66.950294
146.484375	-67.613266
147.460938	-67.776520
148.437500	-67.657120
149.414062	-67.853630
150.390625	-66.955505
151.367188	-67.257423
152.343750	-67.995651
153.320312	-68.379173
154.296875	-69.404953
155.273438	-69.878067
156.250000	-70.209732
157.226562	-70.073105
158.203125	-68.845856
159.179688	-70.131119
160.156250	-71.454727
161.132812	-71.667801
162.109375	-71.491333
