Frequency (Hz)	Level (dB)
0.976562	-71.419777
1.953125	-67.380409
2.929688	-64.341629
3.906250	-62.061329
4.882812	-60.205997
5.859375	-58.698414
6.835938	-57.548504
7.812500	-56.482162
8.789062	-55.409489
9.765625	-54.867611
10.742188	-54.210289
11.718750	-53.810257
12.695312	-53.480831
13.671875	-53.356483
14.648438	-53.548336
15.625000	-52.888115
16.601562	-52.705669
17.578125	-52.844601
18.554688	-52.986317
19.531250	-53.266560
20.507812	-52.217918
21.484375	-52.686413
22.460938	-53.375149
23.437500	-53.969208
24.414062	-53.745316
25.390625	-53.108574
26.367188	-53.633308
27.343750	-53.924286
28.320312	-53.410549
29.296875	-52.731670
30.273438	-52.975800
31.250000	-52.135166
32.226562	-51.702030
33.203125	-52.427700
34.179688	-52.435715
35.156250	-52.179504
36.132812	-51.777824
37.109375	-52.378834
38.085938	-52.124218
39.062500	-51.982983
40.039062	-52.075516
41.015625	-51.580799
41.992188	-51.444298
42.968750	-52.203907
43.945312	-52.143677
44.921875	-52.290016
45.898438	-52.220421
46.875000	-52.338715
47.851562	-53.018009
48.828125	-52.931583
49.804688	-53.356743
50.781250	-54.094551
51.757812	-54.583336
52.734375	-54.954575
53.710938	-54.062374
54.687500	-54.727737
55.664062	-55.545288
56.640625	-55.898178
57.617188	-55.342590
58.593750	-55.915627
59.570312	-57.101727
60.546875	-57.211609
61.523438	-57.382671
62.500000	-56.897945
63.476562	-57.651669
64.453125	-57.919064
65.429688	-57.427578
66.406250	-57.695705
67.382812	-58.576736
68.359375	-58.524010
69.335938	-59.197308
70.312500	-60.275425
71.289062	-60.809525
72.265625	-60.660786
73.242188	-61.274632
74.218750	-61.974712
75.195312	-63.012512
76.171875	-63.363232
77.148438	-62.255573
78.125000	-62.742573
79.101562	-63.741432
80.078125	-64.849480
81.054688	-63.983574
82.031250	-66.370522
83.007812	-66.434196
83.984375	-66.824409
84.960938	-65.807114
85.937500	-65.870216
86.914062	-65.238525
87.890625	-65.423660
88.867188	-65.414322
89.843750	-64.889435
90.820312	-65.008553
91.796875	-63.791100
92.773438	-64.305275
93.750000	-64.146797
94.726562	-63.890591
95.703125	-63.392960
96.679688	-62.391335
97.656250	-62.466621
98.632812	-62.660542
99.609375	-62.457722
100.585938	-62.024849
101.562500	-61.075447
102.539062	-61.276134
103.515625	-61.071541
104.492188	-60.599186
105.468750	-60.672939
106.445312	-60.587868
107.421875	-60.830978
108.398438	-60.242725
109.375000	-59.811005
110.351562	-59.983978
111.328125	-60.041862
112.304688	-59.904610
113.281250	-59.882103
114.257812	-59.972641
115.234375	-59.808720
116.210938	-59.575047
117.187500	-59.808701
118.164062	-60.177345
119.140625	-59.936241
120.117188	-59.613892
121.093750	-60.153084
122.070312	-60.457829
123.046875	-60.679516
124.023438	-60.652763
125.000000	-60.846386
125.976562	-61.131508
126.953125	-61.244473
127.929688	-61.314499
128.906250	-61.752388
129.882812	-61.895550
130.859375	-62.221821
131.835938	-62.370285
132.812500	-62.614395
133.789062	-62.778999
134.765625	-62.949528
135.742188	-63.153877
136.718750	-63.524593
137.695312	-64.078903
138.671875	-64.254417
139.648438	-64.690544
140.625000	-65.104233
141.601562	-65.442444
142.578125	-66.006561
143.554688	-66.045959
144.531250	-66.685471
145.507812	-67.578789
146.484375	-68.472198
147.460938	-68.945244
148.437500	-69.433693
149.414062	-70.459518
150.390625	-71.429886
151.367188	-72.320129
