Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3445
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.9235
Water Temp (deg C),25.39
Room Temp (deg C),25.39
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,25.39
30.00,25.37
60.00,25.39
90.00,25.40
120.00,25.38
150.00,25.37
180.00,25.41
210.00,25.40
240.00,25.38
270.00,25.40
300.00,25.38
330.00,26.15
360.00,27.43
390.00,28.44
420.00,29.14
450.00,29.59
480.00,29.86
510.00,30.04
540.00,30.14
570.00,30.20
600.00,30.25
630.00,30.26
660.00,30.27
690.00,30.28
720.00,30.27
750.00,30.27
780.00,30.29
810.00,30.29
840.00,30.27
870.00,30.28
900.00,30.28
930.00,30.27
960.00,30.26
