Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3445
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.9025
Water Temp (deg C),24.52
Room Temp (deg C),24.52
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.52
30.00,24.54
60.00,24.54
90.00,24.52
120.00,24.53
150.00,24.52
180.00,24.51
210.00,24.54
240.00,24.52
270.00,24.51
300.00,24.51
330.00,24.98
360.00,25.72
390.00,26.30
420.00,26.70
450.00,26.96
480.00,27.14
510.00,27.24
540.00,27.28
570.00,27.33
600.00,27.36
630.00,27.36
660.00,27.39
690.00,27.35
720.00,27.38
750.00,27.36
780.00,27.35
810.00,27.36
840.00,27.34
870.00,27.35
900.00,27.37
930.00,27.34
960.00,27.36
