Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3445
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.9881
Water Temp (deg C),25.06
Room Temp (deg C),25.06
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,25.06
30.00,25.07
60.00,25.04
90.00,25.04
120.00,25.07
150.00,25.04
180.00,25.05
210.00,25.04
240.00,25.05
270.00,25.06
300.00,25.06
330.00,25.42
360.00,25.98
390.00,26.46
420.00,26.80
450.00,26.98
480.00,27.12
510.00,27.18
540.00,27.22
570.00,27.26
600.00,27.29
630.00,27.29
660.00,27.29
690.00,27.29
720.00,27.29
750.00,27.31
780.00,27.29
810.00,27.30
840.00,27.31
870.00,27.28
900.00,27.32
930.00,27.29
960.00,27.28
