Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3445
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9045
Water Temp (deg C),22.06
Room Temp (deg C),22.06
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,22.06
30.00,22.07
60.00,22.06
90.00,22.07
120.00,22.04
150.00,22.04
180.00,22.07
210.00,22.06
240.00,22.03
270.00,22.04
300.00,22.06
330.00,23.22
360.00,25.12
390.00,26.64
420.00,27.72
450.00,28.38
480.00,28.80
510.00,29.06
540.00,29.21
570.00,29.31
600.00,29.36
630.00,29.38
660.00,29.40
690.00,29.41
720.00,29.41
750.00,29.39
780.00,29.40
810.00,29.38
840.00,29.38
870.00,29.36
900.00,29.37
930.00,29.35
960.00,29.37
