Frequency (Hz)	Level (dB)
0.488281	-125.690285
0.976562	-121.406723
1.464844	-117.671211
1.953125	-114.761177
2.441406	-112.289803
2.929688	-109.284958
3.417969	-102.164444
3.906250	-99.426956
4.394531	-101.345741
4.882812	-102.890671
5.371094	-100.209259
5.859375	-98.041695
6.347656	-95.284828
6.835938	-94.779068
7.324219	-96.571831
7.812500	-98.281891
8.300781	-98.328163
8.789062	-95.815224
9.277344	-93.809097
9.765625	-92.293190
10.253906	-89.718880
10.742188	-87.395844
11.230469	-86.713547
11.718750	-86.846100
12.207031	-86.374786
12.695312	-86.372841
13.183594	-85.466553
13.671875	-86.230843
14.160156	-86.611755
14.648438	-85.951927
15.136719	-85.656822
15.625000	-85.106186
16.113281	-85.463242
16.601562	-84.416534
17.089844	-83.817947
17.578125	-84.668335
18.066406	-84.928726
18.554688	-83.365562
19.042969	-82.271889
19.531250	-82.515030
20.019531	-84.329994
20.507812	-83.863472
20.996094	-83.132973
21.484375	-81.261917
21.972656	-80.787849
22.460938	-79.863747
22.949219	-78.161316
23.437500	-79.341888
23.925781	-80.600334
24.414062	-80.506584
24.902344	-79.874702
25.390625	-78.982803
25.878906	-78.572838
26.367188	-78.408653
26.855469	-79.085037
27.343750	-77.612068
27.832031	-78.228691
28.320312	-79.935745
28.808594	-79.400978
29.296875	-77.072083
29.785156	-75.533005
30.273438	-78.362396
30.761719	-78.959160
31.250000	-79.468681
31.738281	-77.582436
32.226562	-77.355202
32.714844	-77.204292
33.203125	-77.719704
33.691406	-78.016487
34.179688	-79.266502
34.667969	-78.223373
35.156250	-76.804642
35.644531	-76.362724
36.132812	-77.262161
36.621094	-76.516640
37.109375	-76.486908
37.597656	-77.945992
38.085938	-78.058983
38.574219	-78.075829
39.062500	-76.524117
39.550781	-76.079002
40.039062	-76.458061
40.527344	-77.946426
41.015625	-77.539574
41.503906	-76.811562
41.992188	-75.933342
42.480469	-74.836914
42.968750	-75.308716
43.457031	-75.362740
43.945312	-75.451736
44.433594	-75.134865
44.921875	-75.444931
45.410156	-73.006699
45.898438	-73.016609
46.386719	-73.913162
46.875000	-75.564453
47.363281	-76.722565
47.851562	-74.745781
48.339844	-74.379555
48.828125	-73.639168
49.316406	-74.836227
49.804688	-73.156105
50.292969	-73.109825
50.781250	-73.041794
51.269531	-71.858566
51.757812	-71.745743
52.246094	-72.462318
52.734375	-72.657104
53.222656	-73.405739
53.710938	-72.138702
54.199219	-70.987801
54.687500	-70.638878
55.175781	-69.851288
55.664062	-70.661331
56.152344	-70.034889
56.640625	-69.714958
57.128906	-70.509254
57.617188	-69.705070
58.105469	-70.148567
58.593750	-69.121071
59.082031	-69.220299
59.570312	-70.105042
60.058594	-71.139572
60.546875	-70.989143
61.035156	-69.499702
61.523438	-68.987709
62.011719	-69.091789
62.500000	-68.878647
62.988281	-68.969543
63.476562	-68.882866
63.964844	-70.685951
64.453125	-72.661186
64.941406	-74.253098
65.429688	-74.072823
65.917969	-73.149422
66.406250	-73.353661
66.894531	-72.733940
67.382812	-72.519424
67.871094	-73.995277
68.359375	-75.607353
68.847656	-74.503616
69.335938	-74.357124
69.824219	-73.356819
70.312500	-73.169838
70.800781	-72.936958
71.289062	-72.000076
71.777344	-72.925613
72.265625	-71.942848
72.753906	-70.799110
73.242188	-69.185738
73.730469	-70.005638
74.218750	-70.281548
74.707031	-69.790428
75.195312	-69.633896
75.683594	-70.602669
76.171875	-72.193016
76.660156	-72.070076
77.148438	-72.540001
77.636719	-72.879128
78.125000	-72.908882
78.613281	-73.974609
79.101562	-73.643402
79.589844	-74.316086
80.078125	-74.399956
80.566406	-74.673805
81.054688	-74.708138
81.542969	-74.181213
82.031250	-74.433434
82.519531	-74.687233
83.007812	-75.596252
83.496094	-73.767387
83.984375	-71.647751
84.472656	-71.648849
84.960938	-71.102989
85.449219	-72.361153
85.937500	-72.799706
86.425781	-71.938995
86.914062	-70.578598
87.402344	-72.298553
87.890625	-73.278503
88.378906	-73.730453
88.867188	-72.256332
89.355469	-72.096169
89.843750	-71.972168
90.332031	-71.575699
90.820312	-72.266319
91.308594	-72.199913
91.796875	-71.854706
92.285156	-72.879005
92.773438	-73.124474
93.261719	-73.807114
93.750000	-74.336823
94.238281	-75.658890
94.726562	-77.362076
95.214844	-76.960587
95.703125	-75.873848
96.191406	-76.321480
96.679688	-75.783661
97.167969	-76.954514
97.656250	-75.092995
98.144531	-75.238228
98.632812	-75.962540
99.121094	-75.993790
99.609375	-75.315163
100.097656	-75.426254
100.585938	-75.200706
101.074219	-75.042587
101.562500	-74.704895
102.050781	-74.650871
102.539062	-73.596863
103.027344	-74.102692
103.515625	-72.736961
104.003906	-72.880257
104.492188	-73.860939
104.980469	-73.712814
105.468750	-73.212471
105.957031	-73.821289
106.445312	-74.601883
106.933594	-73.725708
107.421875	-74.423241
107.910156	-76.126205
108.398438	-76.267578
108.886719	-76.567818
109.375000	-76.861481
109.863281	-76.641937
110.351562	-75.940460
110.839844	-75.209038
111.328125	-75.746101
111.816406	-75.160484
112.304688	-74.040077
112.792969	-74.339790
113.281250	-73.839050
113.769531	-73.153793
114.257812	-72.740723
114.746094	-73.264694
115.234375	-74.304352
115.722656	-76.924210
116.210938	-76.226746
116.699219	-75.138229
117.187500	-76.444748
117.675781	-76.337593
118.164062	-76.520485
118.652344	-74.911308
119.140625	-73.989189
119.628906	-73.335213
120.117188	-73.238564
120.605469	-74.956390
121.093750	-75.974426
121.582031	-75.095833
122.070312	-74.964615
122.558594	-75.043098
123.046875	-74.607826
123.535156	-75.912064
