Frequency (Hz)	Level (dB)
0.488281	-125.623413
0.976562	-120.714798
1.464844	-117.791252
1.953125	-114.277313
2.441406	-111.828957
2.929688	-109.140717
3.417969	-105.104668
3.906250	-101.544945
4.394531	-101.856445
4.882812	-104.045410
5.371094	-102.490395
5.859375	-99.356728
6.347656	-96.340637
6.835938	-94.848640
7.324219	-96.900948
7.812500	-98.711182
8.300781	-99.764206
8.789062	-96.633255
9.277344	-94.883720
9.765625	-94.172432
10.253906	-90.885132
10.742188	-90.105522
11.230469	-88.337769
11.718750	-86.936035
12.207031	-88.002129
12.695312	-87.328781
13.183594	-86.559616
13.671875	-87.339836
14.160156	-88.174400
14.648438	-88.396957
15.136719	-86.523354
15.625000	-86.689247
16.113281	-86.446930
16.601562	-85.331696
17.089844	-86.366341
17.578125	-86.946503
18.066406	-84.758560
18.554688	-82.736229
19.042969	-83.549301
19.531250	-83.612061
20.019531	-83.411751
20.507812	-84.963814
20.996094	-82.911209
21.484375	-81.962280
21.972656	-80.270378
22.460938	-80.886848
22.949219	-79.414383
23.437500	-79.559502
23.925781	-80.434296
24.414062	-80.621368
24.902344	-81.802002
25.390625	-80.726234
25.878906	-79.479385
26.367188	-79.663651
26.855469	-80.091118
27.343750	-79.822380
27.832031	-79.435585
28.320312	-78.619980
28.808594	-79.351608
29.296875	-77.325829
29.785156	-75.131035
30.273438	-77.387306
30.761719	-77.594788
31.250000	-78.336212
31.738281	-79.468170
32.226562	-80.087975
32.714844	-78.428314
33.203125	-78.453903
33.691406	-79.359657
34.179688	-79.861343
34.667969	-79.128769
35.156250	-79.304123
35.644531	-77.247620
36.132812	-76.837112
36.621094	-77.352074
37.109375	-77.788132
37.597656	-77.660950
38.085938	-77.703735
38.574219	-77.564011
39.062500	-78.024338
39.550781	-77.824997
40.039062	-76.838753
40.527344	-75.915787
41.015625	-75.209579
41.503906	-76.133255
41.992188	-75.510956
42.480469	-75.737511
42.968750	-76.248581
43.457031	-75.733353
43.945312	-75.233498
44.433594	-76.054573
44.921875	-76.838928
45.410156	-74.716583
45.898438	-75.893578
46.386719	-75.804497
46.875000	-74.247887
47.363281	-74.047462
47.851562	-74.825691
48.339844	-74.697746
48.828125	-74.048561
49.316406	-74.283379
49.804688	-73.968300
50.292969	-72.459686
50.781250	-71.401665
51.269531	-70.506668
51.757812	-71.608414
52.246094	-72.081764
52.734375	-71.560776
53.222656	-72.236900
53.710938	-73.780914
54.199219	-71.569672
54.687500	-70.787239
55.175781	-70.500633
55.664062	-70.979233
56.152344	-70.791351
56.640625	-69.064468
57.128906	-69.226036
57.617188	-70.251762
58.105469	-69.495506
58.593750	-69.563332
59.082031	-69.227173
59.570312	-68.484230
60.058594	-69.019897
60.546875	-69.516136
61.035156	-69.153664
61.523438	-68.324524
62.011719	-69.100632
62.500000	-67.557594
62.988281	-68.119186
63.476562	-68.347412
63.964844	-70.936409
64.453125	-73.466522
64.941406	-73.375175
65.429688	-74.454872
65.917969	-74.399689
66.406250	-73.411194
66.894531	-73.338074
67.382812	-72.932243
67.871094	-74.040726
68.359375	-73.881371
68.847656	-73.222931
69.335938	-72.872627
69.824219	-71.847137
70.312500	-71.766029
70.800781	-72.770721
71.289062	-73.126190
71.777344	-74.522072
72.265625	-74.124786
72.753906	-70.991959
73.242188	-69.039658
73.730469	-70.258652
74.218750	-69.606377
74.707031	-68.702545
75.195312	-69.347832
75.683594	-71.025932
76.171875	-70.910751
76.660156	-73.079025
77.148438	-74.020615
77.636719	-73.514557
78.125000	-74.659409
78.613281	-74.165634
79.101562	-73.722382
79.589844	-74.069160
80.078125	-73.885170
80.566406	-74.430420
81.054688	-74.267693
81.542969	-74.184242
82.031250	-75.682144
82.519531	-74.320564
83.007812	-73.045563
83.496094	-72.141479
83.984375	-70.930908
84.472656	-70.283188
84.960938	-70.402596
85.449219	-70.581459
85.937500	-71.023560
86.425781	-70.668434
86.914062	-70.234138
87.402344	-71.383209
87.890625	-71.941017
88.378906	-72.112694
88.867188	-71.710785
89.355469	-70.782852
89.843750	-71.446800
90.332031	-71.037376
90.820312	-71.499458
91.308594	-71.101685
91.796875	-71.754166
92.285156	-71.444778
92.773438	-72.811081
93.261719	-73.470421
