Frequency (Hz)	Level (dB)
0.488281	-126.799507
0.976562	-120.829117
1.464844	-117.696838
1.953125	-116.266167
2.441406	-113.289948
2.929688	-110.000374
3.417969	-105.535835
3.906250	-103.923317
4.394531	-105.506531
4.882812	-105.289291
5.371094	-102.158859
5.859375	-99.964195
6.347656	-98.491936
6.835938	-98.754532
7.324219	-100.389984
7.812500	-100.817551
8.300781	-100.846649
8.789062	-98.422623
9.277344	-97.459915
9.765625	-96.386703
10.253906	-93.242378
10.742188	-92.188286
11.230469	-91.498329
11.718750	-91.814423
12.207031	-91.750328
12.695312	-90.741898
13.183594	-89.077011
13.671875	-89.453285
14.160156	-90.828423
14.648438	-92.114578
15.136719	-90.725708
15.625000	-90.635483
16.113281	-89.719795
16.601562	-88.115150
17.089844	-88.220154
17.578125	-88.798477
18.066406	-88.922157
18.554688	-87.785118
19.042969	-87.597710
19.531250	-87.306648
20.019531	-87.485115
20.507812	-87.771233
20.996094	-86.694008
21.484375	-85.977097
21.972656	-84.095482
22.460938	-82.707756
22.949219	-81.846367
23.437500	-82.738083
23.925781	-84.401222
24.414062	-84.780632
24.902344	-84.307907
25.390625	-83.777046
25.878906	-83.318909
26.367188	-82.471581
26.855469	-81.412376
27.343750	-82.413597
27.832031	-83.654587
28.320312	-82.273003
28.808594	-82.411476
29.296875	-81.083344
29.785156	-79.298157
30.273438	-81.664078
30.761719	-81.552170
31.250000	-81.555649
31.738281	-81.989082
32.226562	-81.951500
32.714844	-81.870674
33.203125	-83.479156
33.691406	-83.025536
34.179688	-82.145035
34.667969	-80.900467
35.156250	-81.077766
35.644531	-82.118179
36.132812	-81.629196
36.621094	-81.144081
37.109375	-81.007614
37.597656	-80.013519
38.085938	-81.057533
38.574219	-82.088448
39.062500	-82.944710
39.550781	-81.589500
40.039062	-80.909729
40.527344	-80.195389
41.015625	-80.586945
41.503906	-79.902985
41.992188	-79.387436
42.480469	-78.926620
42.968750	-79.190002
43.457031	-79.594040
43.945312	-79.765358
44.433594	-78.692749
44.921875	-77.806396
45.410156	-76.757736
45.898438	-77.884613
