Frequency (Hz)	Level (dB)
0.488281	-91.152618
0.976562	-91.434113
1.464844	-91.313644
1.953125	-91.438934
2.441406	-92.594994
2.929688	-90.825409
3.417969	-90.929016
3.906250	-90.000916
4.394531	-91.875748
4.882812	-92.469048
5.371094	-90.220421
5.859375	-90.053734
6.347656	-89.711739
6.835938	-91.534958
7.324219	-90.902428
7.812500	-90.180252
8.300781	-90.584267
8.789062	-90.086983
9.277344	-91.540222
9.765625	-89.522621
10.253906	-87.773026
10.742188	-87.942108
11.230469	-86.418282
11.718750	-87.055641
12.207031	-86.224434
12.695312	-87.094177
13.183594	-87.118149
13.671875	-87.299133
14.160156	-87.855263
14.648438	-86.523514
15.136719	-87.403923
15.625000	-86.222778
16.113281	-86.096245
16.601562	-87.437996
17.089844	-87.834831
17.578125	-86.291183
18.066406	-85.554825
18.554688	-85.040825
19.042969	-85.840698
19.531250	-85.978127
20.019531	-85.934891
20.507812	-86.037521
20.996094	-85.002579
21.484375	-84.172272
21.972656	-84.238556
22.460938	-82.452194
22.949219	-82.481667
23.437500	-82.205475
23.925781	-81.502045
24.414062	-82.663834
24.902344	-83.117783
25.390625	-83.369995
25.878906	-81.996880
26.367188	-81.555626
26.855469	-82.424728
27.343750	-82.422066
27.832031	-82.006912
28.320312	-81.494713
28.808594	-81.422546
29.296875	-79.671577
29.785156	-79.964783
30.273438	-82.126472
30.761719	-83.213448
31.250000	-83.764755
31.738281	-82.972046
32.226562	-83.116020
32.714844	-83.727798
33.203125	-84.232430
33.691406	-84.319855
34.179688	-83.467125
34.667969	-84.176254
35.156250	-84.869637
35.644531	-83.909401
36.132812	-83.586807
36.621094	-82.859810
37.109375	-82.867287
37.597656	-83.210442
38.085938	-83.202904
38.574219	-83.059143
39.062500	-82.805054
39.550781	-83.239792
40.039062	-83.274750
40.527344	-83.888145
41.015625	-82.669785
41.503906	-81.310120
41.992188	-81.687340
42.480469	-82.469810
42.968750	-82.282036
43.457031	-80.837044
43.945312	-80.611519
44.433594	-80.584839
44.921875	-79.613991
45.410156	-79.713654
45.898438	-81.775757
46.386719	-81.096069
46.875000	-81.076935
47.363281	-80.458420
47.851562	-79.955872
48.339844	-79.294357
48.828125	-80.740974
49.316406	-80.293587
49.804688	-79.055740
50.292969	-78.656456
50.781250	-79.599342
51.269531	-79.232079
51.757812	-78.344048
52.246094	-78.482353
52.734375	-77.485992
53.222656	-78.490372
53.710938	-79.518867
54.199219	-78.017487
54.687500	-77.717339
55.175781	-76.670731
55.664062	-78.014084
56.152344	-78.383507
56.640625	-78.745041
57.128906	-76.991692
57.617188	-75.424683
58.105469	-74.740700
58.593750	-75.474541
59.082031	-76.600533
59.570312	-76.461769
60.058594	-77.370407
60.546875	-77.456833
61.035156	-76.946800
61.523438	-77.209229
62.011719	-77.037148
62.500000	-75.116264
62.988281	-74.711952
63.476562	-75.856628
63.964844	-76.877769
64.453125	-76.467682
64.941406	-76.861214
65.429688	-78.481079
65.917969	-78.461281
66.406250	-77.870377
66.894531	-77.362144
67.382812	-77.229309
67.871094	-76.586189
68.359375	-77.326324
68.847656	-76.401581
69.335938	-76.311638
69.824219	-75.560921
70.312500	-75.748283
70.800781	-77.663757
71.289062	-77.570648
71.777344	-77.227837
72.265625	-75.715660
72.753906	-75.480255
73.242188	-75.635742
73.730469	-75.597511
74.218750	-75.930893
74.707031	-74.767166
75.195312	-74.635864
75.683594	-75.553185
76.171875	-75.463303
76.660156	-75.758110
77.148438	-76.069824
77.636719	-75.005890
78.125000	-75.011292
78.613281	-76.706062
79.101562	-76.638710
79.589844	-76.906570
80.078125	-76.565704
80.566406	-76.775475
81.054688	-74.531425
81.542969	-74.749870
82.031250	-75.630363
82.519531	-74.448517
83.007812	-74.311592
83.496094	-73.579544
83.984375	-73.948433
84.472656	-74.795395
84.960938	-74.728218
85.449219	-74.555176
85.937500	-76.069748
86.425781	-75.795113
86.914062	-75.149582
87.402344	-74.310478
87.890625	-73.392120
88.378906	-74.671371
88.867188	-75.515823
89.355469	-74.889160
89.843750	-73.850655
90.332031	-74.707207
90.820312	-75.803078
91.308594	-75.230164
91.796875	-75.742485
92.285156	-74.975815
92.773438	-74.992004
93.261719	-76.340416
93.750000	-75.801414
94.238281	-74.325539
94.726562	-73.734673
95.214844	-73.998718
95.703125	-74.536781
96.191406	-74.372536
96.679688	-74.291840
97.167969	-73.510864
97.656250	-72.722076
98.144531	-74.897697
98.632812	-75.394073
99.121094	-73.657707
99.609375	-73.379799
100.097656	-73.355812
100.585938	-73.467491
101.074219	-73.250267
101.562500	-73.397308
102.050781	-74.245697
102.539062	-73.861816
103.027344	-72.991432
103.515625	-73.158264
104.003906	-74.243690
104.492188	-74.297234
104.980469	-74.454102
105.468750	-73.562996
105.957031	-72.174202
106.445312	-72.055923
106.933594	-71.626587
107.421875	-72.487976
107.910156	-72.917160
108.398438	-71.937355
108.886719	-72.124519
109.375000	-75.209175
109.863281	-72.708580
110.351562	-71.826057
110.839844	-73.259903
111.328125	-74.302238
111.816406	-72.709709
112.304688	-72.548401
112.792969	-72.721863
113.281250	-73.420876
113.769531	-72.873039
114.257812	-73.377899
114.746094	-73.042328
115.234375	-73.034660
115.722656	-72.753708
116.210938	-72.734512
116.699219	-71.683617
117.187500	-71.670181
117.675781	-72.922279
118.164062	-73.279160
118.652344	-73.681648
119.140625	-73.606445
119.628906	-68.198433
120.117188	-65.911560
120.605469	-69.272720
121.093750	-71.851578
121.582031	-72.973640
122.070312	-72.246445
122.558594	-71.803131
123.046875	-71.641479
123.535156	-72.448364
124.023438	-72.944839
124.511719	-71.300407
125.000000	-71.097389
