Frequency (Hz)	Level (dB)
0.488281	-92.672935
0.976562	-93.210182
1.464844	-92.919914
1.953125	-92.628883
2.441406	-92.889084
2.929688	-92.763321
3.417969	-92.874046
3.906250	-92.382896
4.394531	-92.462814
4.882812	-92.543327
5.371094	-92.310112
5.859375	-92.725975
6.347656	-90.788841
6.835938	-91.124908
7.324219	-92.182243
7.812500	-91.981178
8.300781	-92.338860
8.789062	-91.285034
9.277344	-90.806816
9.765625	-90.491501
10.253906	-90.090202
10.742188	-90.124611
11.230469	-90.070801
11.718750	-90.177940
12.207031	-90.897713
12.695312	-90.252838
13.183594	-89.772850
13.671875	-89.474586
14.160156	-88.656906
14.648438	-88.826607
15.136719	-88.948845
15.625000	-88.745667
16.113281	-88.531464
16.601562	-88.422821
17.089844	-89.593422
17.578125	-90.321671
18.066406	-88.091431
18.554688	-87.694519
19.042969	-86.835701
19.531250	-87.741798
20.019531	-88.300606
20.507812	-88.535980
20.996094	-88.276711
21.484375	-86.523537
21.972656	-87.770279
22.460938	-86.764549
22.949219	-85.710762
23.437500	-83.923798
23.925781	-82.277031
24.414062	-85.223564
24.902344	-87.845955
25.390625	-87.102684
25.878906	-87.089813
26.367188	-86.996597
26.855469	-86.781876
27.343750	-86.617371
27.832031	-86.024956
28.320312	-85.337631
28.808594	-84.466316
29.296875	-83.927994
29.785156	-84.830544
30.273438	-86.409271
30.761719	-86.629372
31.250000	-86.223572
31.738281	-85.803658
32.226562	-87.595474
32.714844	-88.922791
33.203125	-88.778168
33.691406	-88.420998
34.179688	-86.724022
34.667969	-86.187767
35.156250	-87.403580
35.644531	-87.219154
36.132812	-84.935776
36.621094	-83.460381
37.109375	-85.373070
37.597656	-86.396187
38.085938	-86.884048
38.574219	-86.423065
39.062500	-86.432671
39.550781	-87.968124
40.039062	-86.844353
40.527344	-87.012650
41.015625	-85.259781
41.503906	-83.302757
41.992188	-84.452263
42.480469	-85.715889
42.968750	-86.075989
43.457031	-85.780716
43.945312	-84.852921
44.433594	-83.243858
44.921875	-84.424492
45.410156	-85.658524
45.898438	-86.458557
46.386719	-84.856216
46.875000	-85.571152
47.363281	-85.960762
47.851562	-84.895393
48.339844	-84.795891
48.828125	-85.900093
49.316406	-85.074699
49.804688	-84.752205
50.292969	-85.134293
50.781250	-84.524849
51.269531	-82.883812
51.757812	-82.778656
52.246094	-84.139481
52.734375	-84.454720
53.222656	-83.564926
53.710938	-82.961502
54.199219	-84.251938
54.687500	-82.793816
55.175781	-82.461319
55.664062	-82.631096
56.152344	-84.501289
56.640625	-81.986267
57.128906	-80.872696
57.617188	-79.939758
58.105469	-78.016716
58.593750	-79.041130
59.082031	-80.490509
59.570312	-82.037041
60.058594	-80.455795
60.546875	-79.731827
61.035156	-81.119049
61.523438	-81.219193
62.011719	-80.763565
62.500000	-78.953690
62.988281	-79.679230
63.476562	-81.933670
63.964844	-81.711647
64.453125	-82.762306
64.941406	-82.842110
65.429688	-82.696625
65.917969	-84.193420
66.406250	-83.707687
66.894531	-83.647827
67.382812	-83.646774
67.871094	-82.846222
68.359375	-83.516045
68.847656	-83.774002
69.335938	-81.977905
69.824219	-80.655426
70.312500	-80.892761
70.800781	-80.889313
71.289062	-80.193352
71.777344	-81.177246
72.265625	-81.596977
72.753906	-81.280815
73.242188	-80.665817
73.730469	-81.801865
74.218750	-82.060059
74.707031	-81.809349
75.195312	-80.899612
75.683594	-81.637062
76.171875	-82.808647
76.660156	-82.961357
77.148438	-81.003548
77.636719	-79.285706
78.125000	-79.675339
78.613281	-81.059929
79.101562	-81.961792
79.589844	-83.604218
80.078125	-81.471451
80.566406	-81.024948
81.054688	-79.960304
81.542969	-81.150665
82.031250	-80.521294
82.519531	-79.048386
83.007812	-78.617012
83.496094	-78.338135
83.984375	-79.822998
84.472656	-80.843803
