Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3445
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9365
Water Temp (deg C),24.06
Room Temp (deg C),24.06
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.06
30.00,24.06
60.00,24.06
90.00,24.06
120.00,24.07
150.00,24.07
180.00,24.08
210.00,24.06
240.00,24.07
270.00,24.05
300.00,24.08
330.00,25.23
360.00,27.18
390.00,28.74
420.00,29.81
450.00,30.49
480.00,30.91
510.00,31.17
540.00,31.33
570.00,31.42
600.00,31.51
630.00,31.51
660.00,31.54
690.00,31.52
720.00,31.52
750.00,31.51
780.00,31.53
810.00,31.53
840.00,31.50
870.00,31.49
900.00,31.52
930.00,31.48
960.00,31.50
